,Name,Also known as,Description,Substitutions,Scientific name
12,ackee,"achee, akee, vegetable brains, vegetable egg","The pulp of this fruit looks and tastes like scrambled eggs when cooked, and Jamaicans like to serve it with salt cod.   Look for cans of it in Caribbean markets.  
Warning:  Only the yellow pulp on ripe ackees is edible.  Eating underripe ackees that haven't opened on their own, or eating the pink portion of ripe ackees, can cause vomiting and death.","['avocado', 'chickpea', 'almond']",
13,acorn,oaknut,"These nuts come from oak trees, and they were once an important food for Native Americans.   Before they can be eaten, most acorns need to be treated to remove the bitter tannins in them.   To do this, boil whole shelled acorns in water, replacing the water with fresh boiling water whenever it turns light brown. Keep doing this for about two hours, until the water no longer changes color.   Alternatively, you can soak the shelled acorns in several changes of water for three or four days.  Some Native Americans do this by putting whole or pounded acorns into nylon stockings and hanging them so that they're immersed in the water of a toilet tank (repeat:  tank, not bowl).  Each time the toilet is flushed, the water in the tank is refreshed.  This may discolor the toilet, however.  After the nuts have been leached of tannins, roast them in a 350° oven for about an hour.  They can then be eaten whole or ground into acorn meal and used to make porridges or breads.  Acorns from white oaks aren't nearly as bitter as those from red or black oaks, and can be roasted without first soaking them.","['hazelnut', 'chestnut']",Quercus
14,acorn squash,"Des Moines squash, pepper squash","This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side.","['buttercup squash', 'butternut squash', 'banana squash', 'turban squash', 'Hubbard squash', 'pumpkin', 'green papaya', 'golden nugget squash']","Cucurbita pepo, turbinata"
15,acorn starch,,Look for this in Korean markets.,[],Quercus
16,active dry yeast,,"This is the yeast called for by most bread recipes.  It's largely displaced the fresh yeast our grandparents used since it has a longer shelf life and is more tolerant of mishandling.   To activate it, sprinkle it on water that's 105° - 115° F and wait for it to begin foaming (about five minutes).  Look for it in the dairy case--it's usually sold in strips of three packages or in 4-ounce jars.  Always check the expiration date to make sure it's fresh.  Dry yeast can be stored at room temperature until the expiration date--or within 4 months of opening--but it lasts even longer in the refrigerator or freezer.  Always bring yeast to room temperature before you use it.   It's important to keep stored yeast away from air and moisture, so use the smallest container you can find and seal it well.","['fresh yeast', 'instant yeast', 'bread machine yeast']",
17,adobo sauce,,,['Tabasco sauce'],
18,advantame,,An artifical sweetner.,"['acesulfame K', 'aspartame', 'saccarin', 'sucralose', 'Neotame']",
19,advocaat,"Bols, Warninks",This is a very thick liqueur made from brandy and egg yolks.   It's normally eaten with a spoon or added to coffee or hot chocolate. Warninks and Bols are highly regarded brands,"['eggnog', 'Irish cream liqueur']",
20,African bird pepper,,This is the North African equivalent of our cayenne pepper.,['cayenne pepper dried'],
21,agar,"agar agar, agar-agar, angel's hair, Chinese gelatin, Chinese isinglass, dai choy goh, Japanese gelatin, Japanese isinglass, kanten, vegetable gelatin","Since gelatin is made from animal tissue, many vegetarians rely upon this seaweed derivative as a substitute.  Like ordinary gelatin, agar is flavorless and becomes gelatinous when it's dissolved in water, heated, and then cooled.   Agar, though, gels more firmly than gelatin, and it sets and melts at a higher temperature--it can even set at room temperature.  Agar, like gelatin, is full of protein (though incomplete), but it also contains the rich array of minerals one would expect from seaweed.   To use agar, just soak it in the liquid for about 15 minutes, bring it to a gentle boil, then simmer while stirring until it's completely dissolved.  The liquid will gel as it cools.  Acids weakens agar's gelling power, so if you're firming an acidic liquid, use more.  Like gelatin, agar will break down if exposed to the enzymes of certain raw fruits, like kiwi fruit, papayas, pineapple, peaches, mangos, guavas, and figs.  Cooking these fruits, though, destroys the enzymes.  If you plan to add any of these fruits to a gelatin salad, it's a good idea to buy them in cans, since all canned fruit is pre-cooked.   Agar comes in flakes, powder, or bars.",['gelatin'],
22,agar noodles,,"These are strips of agar agar gelatin, which are usually served cold in a salad. Before using, soak them in boiling water until they're soft.",['bean threads'],
23,agnolotti,Piemontese ravioli,"Italian for ""priests' caps,"" agnolotti are small, stuffed crescents of egg-dough pasta that are usually filled with roasted meat, cheese, mushrooms, and/or spinach. A specialty of Italy's Piedmont region, they're great in a broth or pasta salad.","['ravioli', 'cappelletti', 'tortelli']",
24,Agrinion olives,,"This is a large, green Greek olive with very tender flesh.",[],Olea europaea
25,aioli,"allioli, garlic mayonnaise",Aioli is usually a mixture of mayonnaise and garlic. But it can be a mixture of olive oil and garlic.,['garlic'],
26,ají panca chili - dried,aji panca chile,"This reddish-brown dried chili is fruity, mild, and a little smoky. ",['pasilla chili'],Capsicum chinense
27,ajwa dates,"ajwa al madina, kurma ajwa","These dark skinned ajwa dates are grown around Medina, Saudi Arabia. They were said to have been a favorite of the prophet Mohammad.","['dates', 'raisins', 'dried fig']",Phoenix dactylifera
28,ajwain,"ajowan, ajowan seed, ajwain seed, ajwan, ajwon, bishop's weed, carom seed","These look like small caraway seeds, but they taste like a pungent version of thyme.  Indian cooks like to sprinkle them on breads.  Look for them in Indian markets.","['thyme', 'cumin', 'caraway seed']",
29,albacore,"bintoro, German bonito, longfin tuna, Pacific albacore, shiro maguro, white tuna",,['tuna'],Thunnus alalunga
30,ale,"pale ale, porter, stout","There are two types of beer: lager, which is pale, light, and effervescent, and ale, which is heavier and more bitter. Types of ale include pale ale, porter, and stout.","['brown ale', 'India pale ale', 'porter ale', 'stout']",
31,Aleppo olives,,"This is a black, dry-cured Middle Eastern olive that's hard to find in the United States.",[],Olea europaea
32,Aleppo pepper,"Aleppo chili, Aleppo chilli, Halab pepper, Halaby pepper, Near Eastern pepper, pul biber, Turkish pepper, Turkish pepper flakes",,['cayenne pepper - ground'],
33,alfalfa sprouts,lucerne,"These are too wispy to cook, but they're great raw in salads and sandwiches.","['sunflower sprouts', 'mung bean sprouts', 'soybean sprouts', 'fenugreek']",Medicago sativa
34,all-purpose flour,"all purpose flour, flour, plain flour (Britain)","Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached.","['whole wheat flour', 'self-rising flour', 'pastry flour', 'cake flour', 'cake flour', 'barley flour', 'buckwheat flour', 'oat flour', 'rice flour', 'corn flour', 'millet flour', 'potato flour', 'soy flour', 'rice flour', 'wheat germ', 'amaranth flour', 'spelt flour', 'kamut flour', 'matzo meal', 'potato starch', 'bread flour', 'whole wheat flour', 'rye flour', 'rye flour', 'rye flour', 'triticale flour', 'barley flour', 'rice flour', 'buckwheat flour', 'corn flour', 'millet flour', 'oat flour', 'potato flour', 'soy flour', 'soya flour', 'quinoa flour', 'rice flour', 'wheat germ', 'amaranth flour', 'spelt flour', 'kamut flour', 'water chestnut flour', 'corn starch', 'tapioca starch']",Triticum aestivum
35,alligator,,"Alligator meat is lean and mild and people say it tastes like a combination of pork, chicken, and rabbit.  The best meat comes from the tail.","['turtle', 'chicken']",Alligator mississippiensis
36,allspice,"clove pepper, Jamaica pepper, myrtle pepper, newspice, pimento, pimiento, toute-epice","Allspice comes from a single tree, but it tastes like a mixture of cinnamon, cloves, and nutmeg.  You can buy it already ground, but for better flavor and a longer shelf life, buy the berries and grind them yourself.","['cinnamon', 'clove', 'nutmeg']",
37,almond,sweet almond,"Almonds have a crunchy texture and a rich, delicate flavor that's especially good in desserts, like candy, ice cream, tortes, and coffee cake. To intensify their flavor, toast them on a baking pan in a 325° degree oven, stirring occasionally, until they're golden (about 15 minutes for whole almonds).  You can buy almonds shelled or unshelled, blanched, sliced, slivered, ground, or chopped.","['hazelnut', 'Brazil nut', 'cashew', 'pistachio nut']",Prunus dulcis
38,almond butter,,"Almond butter is grittier and more expensive than peanut butter, but it can substitute for peanut butter in many recipes.","['almond', 'peanut butter', 'cashew butter']",Prunus dulcis
39,almond extract,,"This is made with almond oil and alcohol, and it's especially good in cookies and cakes. It's potent, so recipes usually call for no more than a teaspoon. Bitter almond extract is even stronger.","['vanilla extract', 'almond liqueur', 'bitter almond']",Prunus dulcis
40,Alphonso olives,Alfonso olive,"This large Chilean olive is cured in a wine or wine vinegar solution, which gives it a beautiful dark purple color and tart flavor. Its flesh is very tender and slightly bitter.","['Kalamata olives', 'Gaeta olives']",Olea europaea
41,aluminum foil,tin foil,"This is an excellent all-purpose wrapper, able to withstand both heat and cold. It's the best choice if you're wrapping foods for freezer storage, since it works better than plastic wrap at preventing moisture loss.","['plastic wrap', 'wax paper']",
42,Amphissa olives,"Amfisa olive, Amfissa olive",These are dark purple Greek olives that are hard to find in the U.S. They're great for snacking.,"['Kalamata olives', 'Gaeta olives']",Olea europaea
43,anchovy paste,,"Supermarkets carry tubes of anchovy paste, usually near the canned tuna.","['anchovies', 'shrimp paste', 'fish sauce']",Engraulidae
44,apple blossoms,,,"['peach blossoms', 'plum blossoms']",Malus domestica
45,apple butter,"black butter, Irish black butter","Apple butter isn't made from real butter. Instead, it's made by cooking apples until the sugar in them caramelizes, turning the sauce a rich brown color. It's used as a spread, and also as a fat-free substitute in many baking recipes.","['apple', 'applesauce']",Malus domestica
46,apple jelly,,"You can use this like any other jelly, but it's often used as a glaze when roasting pork.","['black currant jelly', 'grape jelly', 'apple juice']",Malus domestica
47,applesauce,apple sauce,"Applesauce is a purée made from cooked apples. It's often flavored with sugar, lemon juice, and spices like cinnamon and allspice. It's often served as an accompaniment to pork, sausages, and potato pancakes. It can also be used as a fat substitute in baking.","['apple butter', 'pumpkin purée', 'plum purée']",Malus domestica
48,apricot jam,,,"['peach jam', 'plum purée']",Prunus armeniaca
49,Arauco olives,,These are large green Spanish olives flavored with rosemary.,['Manzanilla olives'],Olea europaea
50,Arbequina olives,,"These are tiny green Spanish olives with a mild, smoky flavor. They're hard to find in the U.S.",['Manzanilla olives'],Olea europaea
51,Asian barbecue sauce,,"This is made with oil, soy sauce, and other seasonings. Don't confuse it with the much sweeter American barbecue sauce.","['Korean barbecue sauce', 'hot chili sauce', 'chili garlic sauce']",
52,Atalanta olives,,This is a muddy-green Greek olive with soft flesh.,['royal olives'],Olea europaea
53,bamboo leaves,,"Southeast Asians use these to wrap and tie rice packets before steaming.  They're hard to find fresh, but Asian markets often carry dried leaves in plastic bags. Soak them in warm water before using to prevent them from cracking.",['lotus leaves'],
54,banana catsup,"banana ketchup, banana sauce",Available in Asian food stores. This brownish sauce is often colored red to resemble tomato catsup.,['ketchup'],
55,banana leaves,,"People in the tropics use these huge leaves to line cooking pits and to wrap everything from pigs to rice.  The leaves impart a subtle anise fragrance to food and protect it while it's cooking.  Frozen leaves--once thawed--work just fine.  Boil the leaves before using them to keep them from cracking.  Look for banana leaves among the frozen foods in Asian, Hispanic, or specialty markets.","['aluminum foil', 'parchment paper', 'corn husks', 'hoja santa leaves', 'ti leaves']",Musa acuminata
56,barbecue sauce,"barbeque sauce, BBQ sauce","See the Kansas City BBQ Sauce recipe, Yet Another BBQ Sauce recipe, both posted by RecipeSource.com.",[],
57,bean sauce,"bean paste, brown bean paste, brown bean sauce, mo yuen shih, soybean condiment, yellow bean paste, yellow bean sauce, yuan shai shih","This salty brown sauce is made from fermented soybeans, and is available in cans or jars.  If you buy it in a can, transfer it into a jar.  It can then be stored indefinitely in the refrigerator. Chinese bean sauce isn't as salty as Thai bean sauce.","['black bean sauce', 'chili sauce', 'awase miso', 'brown rice miso']",
58,berbere sauce,berebere sauce,This is a spicy sauce made with berbera powder and other spices.,"['hot chili sauce', 'chili garlic sauce']",
59,black bean sauce,,"This is made from fermented black beans.  A variation is hot black bean sauce, which has chile paste added, and black bean sauce with garlic.
See the Asian Black Bean Sauce posting on RecipeSource.com.","['bean sauce', 'chili bean paste']",
60,black currant jelly,,Black currant jelly is sweeter than more common red currant jelly.,"['muscadine jelly', 'apple jelly', 'grape jelly']",Ribes
61,black olives,ripe olives,"These are olives that have been allowed to ripen on the tree. American recipes that call for black olives are probably referring to the Mission olive. Other varieties of black olives are the Aleppo, Alphonso, Amphissa, black Cerignola, Gaeta, black Greek, Kalamata, Ligurian, Lugano, Moroccan dry-cured, Niçoise, Nyons, Ponentine, and Royal.",['green olives'],Olea europaea
62,blueberry jam,,,"['raspberry preserves', 'gooseberry preserves']",Vaccinium sect. Cyanococcus
63,borage,starflower,"Borage is best known for its attractive blue flowers, but Europeans sometimes use the leaves as an herb in salads and soups.  Borage has a mild flavor that's been likened to that of cucumbers.  The leaves are covered with prickly, throat-catching hairs, so it's best to either blanch them or chop them finely before serving them.","['spinach', 'escarole', 'nasturtium', 'violet', 'rose petals']",Borago officinalis
64,bread and butter pickles,,,['sweet gherkin'],
65,candied angelica,,These are used to make decorative flower stems on cakes.,['marzipan'],
66,candied apricot,"abricot glacé, glace apricot, glacéed apricot",,[],
67,candied chestnuts,marrons glacés,"A French specialty, these are whole chestnuts that are candied in a sugar syrup. They're used to make various desserts.",['chestnut cream'],Castanea
68,candied citron peel,,,['sugar'],
69,candied citrus peel,,,"['grapefruit', 'orange', 'water', 'water']",
70,candied flowers,,,['sugar'],
71,candied fruit,"glace fruits, glacé fruits, glah-SAY",,['dried apricot'],
72,candied ginger,,"Candied ginger is ginger that is stored in a sugary syrup, but the name is also sometimes used for crystallized ginger, which is ginger that's been cooked in syrup, then dried out and rolled in sugar. The two are often used interchangeably.",['ginger jam'],
73,candied grapefruit peel,,,['grapefruit'],
74,candied lemon peel,,,['water'],
75,candied orange peel,,,['sugar'],
76,amaretti,"amaretti biscuits, Italian almond cookies, Italian macaroons","These crisp, hard cookies are traditionally made with bitter almonds.  Dessert recipes sometimes call for them to be crumbled or ground.   Amaretti de Sarnonno are considered to be the best.","['biscotti', 'ladyfingers', 'graham cracker crumbs', 'macaroon']",
77,angel food cake,angel cake,"This is an airy white sponge cake made without egg yolks or any fat.  It gets its volume from stiffly beaten egg whites, and it's normally baked in a tube pan.   Many bakeries sell it ready-made.   It will keep its shape better if you cut it with a serrated knife.","['sponge cake', 'génoise', 'pound cake']",
78,arepa,,"This is a Venezuelan bread that's round and flat and usually made of cornmeal.  It's usually split open and stuffed with grated cheese, cooked meats, and other fillings.","['corn tortilla', 'pita bread']",
79,bagel,,"A Jewish specialty, these ring-shaped rolls have a dense, chewy texture.  They're usually served for breakfast after being sliced open, toasted, and smeared with cream cheese.  The dough is sometimes studded with raisins, blueberries, onions, seeds, or herbs.","['English muffin', 'bialy']",
80,bagel chips,,"You can buy these crunchy chips ready-made, but they're easy to make at home.",['olive oil'],
81,baked pizza crust,,This precooked pizza shell makes it easy to whip up a quick homemade pizza.  Just add some toppings and bake it briefly in an oven.  Boboli is a well-known brand.,"['focaccia', 'fougasse', 'bread dough']",
82,bammy,"bammy bread, yucca cake","Jamaicans love to butter these cakes and eat them with fish.  Bammies are made of grated cassava, and often soaked in coconut milk before being fried.",[],
83,barbari bread,"nan-e barbari, Persian flat bread",This flatbread hails from Iran.,['sangak bread'],
84,bialy,,These chewy Jewish rolls have indentations on top which are filled with onions.   Look for them in bagel shops.,['bagel'],
85,biscotti,,"Biscotti are cookies that are hard, dry, and intensely flavored--think of them as teething biscuits for adults.  They're made by baking a loaf of cookie dough, slicing it, and then baking the slices a second time.  They come in several flavors, including almond, chocolate, anise, and hazelnut.   They can be stored for a long time in a dry, airtight container.","['mandelbrot', 'amaretti']",
86,bolillo,pan blanco,These are crusty Mexican sandwich rolls.,"['French bread', 'tortilla']",
87,bolo de milho,,This is a Brazilian corn cake.,['corn tortilla'],
88,bread,,"To learn more about different varieties of bread, click here. ","['corn tortilla', 'flour tortilla', 'cheese', 'lettuce', 'sweet potato']",
89,breadcrumbs,bread crumbs,"These are used for breading foods, topping casseroles, stuffing poultry, thickening stews,  and adding inexpensive bulk to meatloaves, hamburgers, and fish cakes.    Dry breadcrumbs are made from very dry bread, and make for a crispy, crunchy coating for fried foods.  The bread that's used to make soft or fresh bread crumbs isn't as dry, so the crumbs produce a softer coating, crust, or stuffing.   Almost any bread can be used to make breadcrumbs, but crusty French or Italian bread works especially well.","['white bread', 'panko', 'saltine cracker', 'croutons', 'stuffing', 'cornflake crumbs', 'matzo meal', 'rice cake']",Triticum aestivum
90,breading,,"Breading adds a crisp coating to fried foods. Breadcrumbs are most commonly used, but crumbs from crackers, breakfast cereals, melba toast, matzos, pretzels, and corn chips also work well. To bread meat and seafood, first dry the pieces completely, then dust them with a light coating of flour. Next dip them in a mixture of eggs mixed with a little milk, water, or oil, then dredge the pieces in the breading. Refrigerate them for about an hour before frying them.","['panko', 'cracker meal', 'cornflake crumbs']",Triticum aestivum
91,breadsticks,"grissini, Italian breadsticks","Italians serve these crunchy breadsticks before Italian meals, to keep their guests occupied without filling them up too much.  You can buy them plain, or flavored with sesame seeds, garlic, onion, or herbs.","['Italian bread', 'French bread']",
92,breakfast cracker,,These sturdy British crackers are quite bland.,['water cracker'],
93,brioche,,"This rich, slightly sweet yeast bread is made with eggs and butter, and sometimes with fruit or nuts.","['challah', 'croissant', 'kugelhopf']",
94,butter cake,,"This is the standard cake that we cover with frosting and serve at birthdays, weddings, and graduations. It comes in many flavors, and is easily made at home either from scratch or powdered mixes.","['pound cake', 'sponge cake', 'angel food cake']",
95,butter cookie,petit beurre,These crisp cookies are made with butter.  They're sometimes crushed and use to make pie crusts.,['shortbread'],
96,cake crumbs,,,"['pound cake', 'breadcrumbs']",
97,cannoli shell,,Italians stuff these with a sweet filling that's usually based on ricotta cheese.,['omit'],
98,challah,,"This Jewish yeast bread is made with eggs and butter.  It's wonderfully soft and rich, and usually comes as a braided loaf.","['brioche', 'Portuguese sweet bread', 'croissant']",
99,chalupa,,Flat bread shaped like a boat.,"['gordita', 'corn tortilla', 'sope', 'bolo de milho']",
100,chapati,"chapatti, chappati, Indian flat bread, roti","This unleavened flatbread is a staple in India, where people spread ghee on it and eat it with curries.  You can make it yourself with wheat flour, salt, and water, or buy it ready-made in Indian markets.","['flour tortilla', 'paratha', 'naan', 'pita bread']",
101,chips,crisps,"These are vegetables or grain products that have been cut into thin slices, deep-fried or baked until crisp, and then salted.   They're often served with creamy dips.   The British use the word ""chips"" for what Americans call French fries.","['potato chips', 'corn chips']",
102,chocolate wafer,,These are crisp chocolate cookies that are often crushed and used to make pie crusts.,['gingersnap'],
103,chocolate wafer crumbs,,,"['chocolate wafer', 'Oreo® cookie', 'graham cracker crumbs', 'vanilla wafer crumbs']",
104,ciabatta,,"Ciabatta (""slipper"" in Italian) is a rustic bread with a heavy crust and a dense crumb.","['Italian bread', 'French bread']",
105,cialde,,"These crisp, finger-length Italian cookies are flavored with anise.  They're often stuffed with fruit or other fillings.",[],
106,ciambellone,,This ring-shaped cake is lightly sweetened and flavored with lemon zest and dried fruit.   Romans like to serve it for breakfast at Easter.,['panettone'],
107,coating mix,,"Time-challenged cooks toss chicken pieces or pork chops into bags filled with this seasoned crumb mix, then place them on a pan and bake them.  Shake 'N Bake® is a popular brand.","['paprika', 'breadcrumbs', 'cracker meal']",
108,corico,,These lightly sweetened cookies are made with cornmeal.  Look for them in Hispanic markets.,[],
109,corn chips,,"These are made with cornmeal, and taste especially good with chili.","['tortilla chips', 'potato chips']",
110,corn rye bread,corn-rye bread,"A staple of Jewish delicatessens, this rye bread is coated with cornmeal.  It's often paired with corned beef.",['rye bread'],
111,corn tortilla,,"These thin round wraps are widely used in southern Mexico, and they're the preferred tortilla for making tacos and enchiladas.  They should be served hot.   If you're watching calories, do this by cooking them on a hot, dry frying pan or by wrapping them in moist paper towels and briefly heating them in a microwave oven.  If calories aren't an issue, fry them in oil.  You can make corn tortillas at home if you have a tortilla press.  Just mix masa harina with enough water to make a bread-like dough, press the dough until it's very thin, and then cook the tortilla in a hot, dry frying pan.  Readymade corn tortillas are available in most supermarkets.","['flour tortilla', 'flour', 'corn chips']",
112,cornbread crumbs,"corn bread crumbs, crumbled corn bread, crumbled cornbread","This is used to bread or stuff poultry and fish.  Packaged cornbread crumbs are available in the baking supplies section of many supermarkets, or you can make your own by crumbling cooled cornbread.",['breadcrumbs'],
113,cornflake crumbs,crushed cornflakes,"This is used as a colorful breading for meat and fish, and as a topping for casseroles.  You can buy cornflakes already crushed, or buy whole cornflakes and crush them yourself.","['breadcrumbs', 'panko', 'cornmeal', 'cracker meal', 'melba toast', 'coating mix', 'pretzel']",
114,cracker bread,"Armenian cracker bread, lahvosh, lavash, lavosh, lawaash, lawasha, naan-e-lavaash, paraki",This is a large flat Middle Eastern bread that comes either hard (like a cracker) or soft (like a tortilla). You can soften hard lavash by moistening both sides and then placing it in a plastic bag for a few hours,"['matzo', 'naan', 'flour tortilla']",
115,cracker meal,"cracker crumbs, crushed crackers","These crushed crackers are used as a breading for meat and fish.   When the food is fried, the crumbs provide a crunchy coating.   Look for it in the baking goods section of your supermarket, or make your own by putting crackers in a plastic bag and crushing them with a rolling pin.","['breadcrumbs', 'panko', 'matzo meal', 'cornflake crumbs']",
116,baker's ammonia,"ammonium bicarbonate, ammonium carbonate, baking ammonia, bicarbonate of ammonia, carbonate of ammonia, hartshorn, hartzhorn, hirschhornsalz, hjorthornssalt, powdered baking ammonia, salt of hartshorn, triebsalz","Originally made from the ground antlers of reindeer, this is an ancestor of modern baking powder.  Northern Europeans still use it because it makes their springerle and gingerbread cookies very light and crisp.  Unfortunately, it can impart an unpleasant ammonia flavor, so it's best used in cookies and pastries that are small enough to allow the ammonia odor to dissipate while baking.  
Look for it in German or Scandinavian markets, drug stores, baking supply stores, or a mail order catalogue.  Don't confuse this with ordinary household ammonia, which is poisonous.  Varieties:  It comes either as lumps or powder.  If it isn't powdered, crush it into a very fine powder with a mortar and pestle or a rolling pin.","['baking powder', 'baking soda']",
117,baker's yeast,"baking yeast, bread yeast","This is used as a leaven in breads, coffeecakes, and pastries like croissants and brioche.  It works by converting sugar into carbon dioxide, which causes the dough to rise so the bread will be light and airy.  Yeast comes either as dry granules or moist cakes.   It becomes less potent after the expiration date stamped on the package, so dough made with it may take longer to rise, or not rise at all.  If the potency of the yeast is in doubt, test or ""proof"" it by putting some of it in warm water (105° - 115° F) mixed with a bit of sugar.  If it doesn't get foamy within ten minutes, you'll need to get fresher yeast.","[""brewer's yeast""]",
118,baking powder,"double-acting baking powder, single-acting baking powder","Baking powder is a mixture of one or more acidic salts and baking soda, an alkali.  These two compounds react when they get wet and release carbon dioxide gas bubbles. These, in turn, cause baked goods to rise.  Baking powder is perishable. To test a batch, add 1 teaspoon to ½ cup hot water. If it doesn't bubble, throw it out.  Look for baking powder among the baking supplies in most supermarkets.
Most recipes that call for baking powder intend for you to use double-acting baking powder.  This includes two acidic salts--one that reacts when wet and one that reacts heated.  By giving the baking soda two chances to react, it usually results in light and airy baked goods.  Less common is single-acting baking powder, which only reacts when it becomes wet. When using this kind of baking powder, you have to get the batter into a preheated oven immediately after you mix the wet and dry ingredients together.  Aluminum-free baking powder is preferred by many cooks; powders made with aluminum lend an unpleasant flavor to delicately-flavored baked goods","['cream of tartar', 'cream of tartar', 'buttermilk', 'molasses', ""baker's ammonia""]",
119,baking soda,"bicarb, bicarbonate of soda, bread soda, sodium bicarbonate","Baking soda is alkaline, and when mixed with acidic ingredients, it reacts and releases bubbles of carbon dioxide.  These bubbles, when trapped inside batter, help baked goods rise.  Baking powder contains baking soda, along with acidic salts that react with the soda when they get wet or heated.   Recipes that call for both baking powder and baking soda are probably using the baking soda to offset extra acidity in the batter (from ingredients like buttermilk or molasses) and to weaken the proteins in the flour.  Omitting the baking soda from these recipes may alter the color or flavor of whatever you're baking, and make it less tender.
Tips: Baking soda is used in devil's food cake because it turns the cocoa powder reddish brown.  
Vegetables cooked in water mixed with baking soda don't lose as much color, though the baking soda makes them mushier and causes them to lose vitamin C.  
Sprinkling baking soda on a grease or electrical fire will help extinguish it.
Placing an opened box in the refrigerator or freezer will absorb bad odors 
Baking soda is a good, mildly abrasive scouring powder.
Store baking soda in a cool, dry place.",['potassium bicarbonate'],
120,beer yeast,,"This is used to produce alcohol and bubbles in beer.  There are several varieties, each matched to specific varieties of beer.   It's available either as a liquid or powder at beer-making supply stores.  Don't confuse this with the brewer's yeast that's used as a nutritional supplement.  That type of yeast is deactivated, so it won't produce any alcohol or bubbles.","[""brewer's yeast""]",
121,bread machine yeast,,"This type of dry yeast is highly active and very finely granulated so that it hydrates quickly.  Breads made with this yeast require only a single rise, so this yeast is handy to use in a bread machine.  Most machines will have you add this yeast last, on top of the dry ingredients.  If you're not using a bread machine, add this yeast to the flour and other dry ingredients.   It's often sold in 4-ounce jars.  You can store unopened jars at room temperature until the expiration date stamped on the jar, but the yeast lasts even longer in the refrigerator or freezer.  If you freeze yeast, let it come to room temperature before using.","['instant yeast', 'active dry yeast', 'fresh yeast']",
122,brewer's yeast,,"This inactive yeast is rich in protein and B vitamins, and it's used a nutritional supplement.  It's a by-product of beer-making, which gives it a slightly bitter flavor.  If you object to the bitterness, try nutritional yeast, which is made from the same yeast strain but grown on molasses.  It's more expensive but has a more pleasant flavor.  You can also buy debittered brewer's yeast.  Brewer's yeast comes powdered (the most potent form), in flakes (best for health shakes), and in tablets.  Don't confuse this with active forms of yeast, like the kinds bakers, brewers, and winemakers use.  If you eat them, active yeasts will continue to grow in your intestine, robbing your body of valuable nutrients.","['nutritional yeast', 'yeast extract', ""baker's yeast""]",
