,Name,Also known as,Description,Substitutions,Scientific name
12,ackee,"achee, akee, vegetable brains, vegetable egg","The pulp of this fruit looks and tastes like scrambled eggs when cooked, and Jamaicans like to serve it with salt cod.   Look for cans of it in Caribbean markets.  
Warning:  Only the yellow pulp on ripe ackees is edible.  Eating underripe ackees that haven't opened on their own, or eating the pink portion of ripe ackees, can cause vomiting and death.","[{'Carbs': '', 'Calories': '8.5 g', 'Salt': '160 Cals.', 'Fats': '7 mg', 'Cholesterol': '14.7 g', 'Vitamin C': '0 mg', 'Calcium': '10 mg', 'Protein': '12 mg', 'Sugars': '2 g', 'Fiber': '0.7 g', 'Mono fats': '6.7 g', 'Poly fats': '9.8 g', 'Saturated fats': '1.8 g', 'Name': 'avocado'}, {'Carbs': '', 'Calories': '62.9 g', 'Salt': '378 Cals.', 'Fats': '24 mg', 'Cholesterol': '6 g', 'Vitamin C': '0 mg', 'Calcium': '4 mg', 'Protein': '57 mg', 'Sugars': '20.5 g', 'Fiber': '10.7 g', 'Mono fats': '12.2 g', 'Poly fats': '1.4 g', 'Saturated fats': '2.7 g', 'Name': 'chickpea'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'almond'}]",
13,acorn,oaknut,"These nuts come from oak trees, and they were once an important food for Native Americans.   Before they can be eaten, most acorns need to be treated to remove the bitter tannins in them.   To do this, boil whole shelled acorns in water, replacing the water with fresh boiling water whenever it turns light brown. Keep doing this for about two hours, until the water no longer changes color.   Alternatively, you can soak the shelled acorns in several changes of water for three or four days.  Some Native Americans do this by putting whole or pounded acorns into nylon stockings and hanging them so that they're immersed in the water of a toilet tank (repeat:  tank, not bowl).  Each time the toilet is flushed, the water in the tank is refreshed.  This may discolor the toilet, however.  After the nuts have been leached of tannins, roast them in a 350° oven for about an hour.  They can then be eaten whole or ground into acorn meal and used to make porridges or breads.  Acorns from white oaks aren't nearly as bitter as those from red or black oaks, and can be roasted without first soaking them.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'hazelnut'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'chestnut'}]",Quercus
14,acorn squash,"Des Moines squash, pepper squash","This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side.","[{'Carbs': '', 'Calories': '8.6 g', 'Salt': '34 Cals.', 'Fats': '4 mg', 'Cholesterol': '0.1 g', 'Vitamin C': '0 mg', 'Calcium': '12.3 mg', 'Protein': '28 mg', 'Sugars': '1 g', 'Fiber': '2.2 g', 'Mono fats': '1.5 g', 'Poly fats': '0 g', 'Saturated fats': '0.1 g', 'Name': 'buttercup squash'}, {'Carbs': '', 'Calories': '11.8 g', 'Salt': '47 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '21.2 mg', 'Protein': '47 mg', 'Sugars': '0 g', 'Fiber': '2.4 g', 'Mono fats': '2.4 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'butternut squash'}, {'Carbs': '', 'Calories': '8.6 g', 'Salt': '34 Cals.', 'Fats': '4 mg', 'Cholesterol': '0.1 g', 'Vitamin C': '0 mg', 'Calcium': '12.3 mg', 'Protein': '28 mg', 'Sugars': '1 g', 'Fiber': '2.2 g', 'Mono fats': '1.5 g', 'Poly fats': '0 g', 'Saturated fats': '0.1 g', 'Name': 'banana squash'}, {'Carbs': '', 'Calories': '8.6 g', 'Salt': '34 Cals.', 'Fats': '4 mg', 'Cholesterol': '0.1 g', 'Vitamin C': '0 mg', 'Calcium': '12.3 mg', 'Protein': '28 mg', 'Sugars': '1 g', 'Fiber': '2.2 g', 'Mono fats': '1.5 g', 'Poly fats': '0 g', 'Saturated fats': '0.1 g', 'Name': 'turban squash'}, {'Carbs': '', 'Calories': '8.7 g', 'Salt': '40 Cals.', 'Fats': '7 mg', 'Cholesterol': '0.5 g', 'Vitamin C': '0 mg', 'Calcium': '11 mg', 'Protein': '14 mg', 'Sugars': '2 g', 'Fiber': '4 g', 'Mono fats': '3.9 g', 'Poly fats': '0 g', 'Saturated fats': '0.2 g', 'Name': 'Hubbard squash'}, {'Carbs': '', 'Calories': '6.5 g', 'Salt': '26 Cals.', 'Fats': '1 mg', 'Cholesterol': '0.1 g', 'Vitamin C': '0 mg', 'Calcium': '9 mg', 'Protein': '21 mg', 'Sugars': '1 g', 'Fiber': '2.8 g', 'Mono fats': '0.5 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'pumpkin'}, {'Carbs': '', 'Calories': '10.8 g', 'Salt': '43 Cals.', 'Fats': '8 mg', 'Cholesterol': '0.3 g', 'Vitamin C': '0 mg', 'Calcium': '60.9 mg', 'Protein': '20 mg', 'Sugars': '0.5 g', 'Fiber': '7.8 g', 'Mono fats': '1.7 g', 'Poly fats': '0.1 g', 'Saturated fats': '0.1 g', 'Name': 'green papaya'}, {'Carbs': '', 'Calories': '3.4 g', 'Salt': '16 Cals.', 'Fats': '2 mg', 'Cholesterol': '0.2 g', 'Vitamin C': '0 mg', 'Calcium': '17 mg', 'Protein': '15 mg', 'Sugars': '1.2 g', 'Fiber': '2.2 g', 'Mono fats': '1.1 g', 'Poly fats': '0 g', 'Saturated fats': '0.1 g', 'Name': 'golden nugget squash'}]","Cucurbita pepo, turbinata"
15,acorn starch,,Look for this in Korean markets.,[],Quercus
16,active dry yeast,,"This is the yeast called for by most bread recipes.  It's largely displaced the fresh yeast our grandparents used since it has a longer shelf life and is more tolerant of mishandling.   To activate it, sprinkle it on water that's 105° - 115° F and wait for it to begin foaming (about five minutes).  Look for it in the dairy case--it's usually sold in strips of three packages or in 4-ounce jars.  Always check the expiration date to make sure it's fresh.  Dry yeast can be stored at room temperature until the expiration date--or within 4 months of opening--but it lasts even longer in the refrigerator or freezer.  Always bring yeast to room temperature before you use it.   It's important to keep stored yeast away from air and moisture, so use the smallest container you can find and seal it well.","[{'Carbs': '', 'Calories': '41.2 g', 'Salt': '325 Cals.', 'Fats': '51 mg', 'Cholesterol': '7.6 g', 'Vitamin C': '0 mg', 'Calcium': '0.3 mg', 'Protein': '30 mg', 'Sugars': '40.4 g', 'Fiber': '0 g', 'Mono fats': '26.9 g', 'Poly fats': '4.3 g', 'Saturated fats': '0 g', 'Name': 'fresh yeast'}, {'Carbs': '', 'Name': 'instant yeast'}, {'Carbs': '', 'Calories': '41.2 g', 'Salt': '325 Cals.', 'Fats': '51 mg', 'Cholesterol': '7.6 g', 'Vitamin C': '0 mg', 'Calcium': '0.3 mg', 'Protein': '30 mg', 'Sugars': '40.4 g', 'Fiber': '0 g', 'Mono fats': '26.9 g', 'Poly fats': '4.3 g', 'Saturated fats': '0 g', 'Name': 'bread machine yeast'}]",
17,adobo sauce,,,"[{'Carbs': '', 'Calories': '0.8 g', 'Salt': '12 Cals.', 'Fats': '633 mg', 'Cholesterol': '0.8 g', 'Vitamin C': '0 mg', 'Calcium': '4.5 mg', 'Protein': '12 mg', 'Sugars': '1.3 g', 'Fiber': '0.1 g', 'Mono fats': '0.6 g', 'Poly fats': '0.1 g', 'Saturated fats': '0.4 g', 'Name': 'Tabasco sauce'}]",
18,advantame,,An artifical sweetner.,"[{'Carbs': '', 'Name': 'acesulfame K'}, {'Carbs': '', 'Calories': '89.1 g', 'Salt': '365 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '2.2 g', 'Fiber': '80.7 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'aspartame'}, {'Carbs': '', 'Name': 'saccarin'}, {'Carbs': '', 'Calories': '100 g', 'Salt': '0 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '0 g', 'Fiber': '100 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'sucralose'}, {'Carbs': '', 'Name': 'Neotame'}]",
19,advocaat,"Bols, Warninks",This is a very thick liqueur made from brandy and egg yolks.   It's normally eaten with a spoon or added to coffee or hot chocolate. Warninks and Bols are highly regarded brands,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'eggnog'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Irish cream liqueur'}]",
20,African bird pepper,,This is the North African equivalent of our cayenne pepper.,"[{'Carbs': '', 'Calories': '56.6 g', 'Salt': '318 Cals.', 'Fats': '30 mg', 'Cholesterol': '17.3 g', 'Vitamin C': '0 mg', 'Calcium': '76.4 mg', 'Protein': '148 mg', 'Sugars': '12 g', 'Fiber': '10.3 g', 'Mono fats': '27.2 g', 'Poly fats': '2.8 g', 'Saturated fats': '8.4 g', 'Name': 'cayenne pepper dried'}]",
21,agar,"agar agar, agar-agar, angel's hair, Chinese gelatin, Chinese isinglass, dai choy goh, Japanese gelatin, Japanese isinglass, kanten, vegetable gelatin","Since gelatin is made from animal tissue, many vegetarians rely upon this seaweed derivative as a substitute.  Like ordinary gelatin, agar is flavorless and becomes gelatinous when it's dissolved in water, heated, and then cooled.   Agar, though, gels more firmly than gelatin, and it sets and melts at a higher temperature--it can even set at room temperature.  Agar, like gelatin, is full of protein (though incomplete), but it also contains the rich array of minerals one would expect from seaweed.   To use agar, just soak it in the liquid for about 15 minutes, bring it to a gentle boil, then simmer while stirring until it's completely dissolved.  The liquid will gel as it cools.  Acids weakens agar's gelling power, so if you're firming an acidic liquid, use more.  Like gelatin, agar will break down if exposed to the enzymes of certain raw fruits, like kiwi fruit, papayas, pineapple, peaches, mangos, guavas, and figs.  Cooking these fruits, though, destroys the enzymes.  If you plan to add any of these fruits to a gelatin salad, it's a good idea to buy them in cans, since all canned fruit is pre-cooked.   Agar comes in flakes, powder, or bars.","[{'Carbs': '', 'Calories': '0 g', 'Salt': '335 Cals.', 'Fats': '196 mg', 'Cholesterol': '0.1 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '55 mg', 'Sugars': '85.6 g', 'Fiber': '0 g', 'Mono fats': '0 g', 'Poly fats': '0.1 g', 'Saturated fats': '0 g', 'Name': 'gelatin'}]",
22,agar noodles,,"These are strips of agar agar gelatin, which are usually served cold in a salad. Before using, soak them in boiling water until they're soft.","[{'Carbs': '', 'Name': 'bean threads'}]",
23,agnolotti,Piemontese ravioli,"Italian for ""priests' caps,"" agnolotti are small, stuffed crescents of egg-dough pasta that are usually filled with roasted meat, cheese, mushrooms, and/or spinach. A specialty of Italy's Piedmont region, they're great in a broth or pasta salad.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'ravioli'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'cappelletti'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'tortelli'}]",
24,Agrinion olives,,"This is a large, green Greek olive with very tender flesh.",[],Olea europaea
25,aioli,"allioli, garlic mayonnaise",Aioli is usually a mixture of mayonnaise and garlic. But it can be a mixture of olive oil and garlic.,"[{'Carbs': '', 'Calories': '5.5 g', 'Salt': '681 Cals.', 'Fats': '300.9 mg', 'Cholesterol': '65.7 g', 'Name': 'garlic'}]",
26,ají panca chili - dried,aji panca chile,"This reddish-brown dried chili is fruity, mild, and a little smoky. ","[{'Carbs': '', 'Calories': '51.1 g', 'Salt': '345 Cals.', 'Fats': '89 mg', 'Cholesterol': '15.9 g', 'Vitamin C': '0 mg', 'Calcium': '6.4 mg', 'Protein': '97 mg', 'Sugars': '12.4 g', 'Fiber': '0 g', 'Mono fats': '26.8 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'pasilla chili'}]",Capsicum chinense
27,ajwa dates,"ajwa al madina, kurma ajwa","These dark skinned ajwa dates are grown around Medina, Saudi Arabia. They were said to have been a favorite of the prophet Mohammad.","[{'Carbs': '', 'Calories': '75 g', 'Salt': '282 Cals.', 'Fats': '2 mg', 'Cholesterol': '0.4 g', 'Vitamin C': '0 mg', 'Calcium': '0.4 mg', 'Protein': '39 mg', 'Sugars': '2.5 g', 'Fiber': '63.4 g', 'Mono fats': '8 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'dates'}, {'Carbs': '', 'Calories': '79.2 g', 'Salt': '299 Cals.', 'Fats': '11 mg', 'Cholesterol': '0.5 g', 'Vitamin C': '0 mg', 'Calcium': '2.3 mg', 'Protein': '50 mg', 'Sugars': '3.1 g', 'Fiber': '59.2 g', 'Mono fats': '3.7 g', 'Poly fats': '0.1 g', 'Saturated fats': '0 g', 'Name': 'raisins'}, {'Carbs': '', 'Calories': '63.9 g', 'Salt': '249 Cals.', 'Fats': '10 mg', 'Cholesterol': '0.9 g', 'Vitamin C': '0 mg', 'Calcium': '1.2 mg', 'Protein': '162 mg', 'Sugars': '3.3 g', 'Fiber': '0 g', 'Mono fats': '9.8 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'dried fig'}]",Phoenix dactylifera
28,ajwain,"ajowan, ajowan seed, ajwain seed, ajwan, ajwon, bishop's weed, carom seed","These look like small caraway seeds, but they taste like a pungent version of thyme.  Indian cooks like to sprinkle them on breads.  Look for them in Indian markets.","[{'Carbs': '', 'Calories': '24.5 g', 'Salt': '101 Cals.', 'Fats': '9 mg', 'Cholesterol': '1.7 g', 'Vitamin C': '0 mg', 'Calcium': '160.1 mg', 'Protein': '405 mg', 'Sugars': '5.6 g', 'Fiber': '0 g', 'Mono fats': '14 g', 'Poly fats': '0.1 g', 'Saturated fats': '0.5 g', 'Name': 'thyme'}, {'Carbs': '', 'Calories': '0 g', 'Salt': '0 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono fats': '31.2 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'cumin'}, {'Carbs': '', 'Calories': '49.9 g', 'Salt': '333 Cals.', 'Fats': '17 mg', 'Cholesterol': '14.6 g', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '689 mg', 'Sugars': '19.8 g', 'Fiber': '0.6 g', 'Mono fats': '38 g', 'Poly fats': '7.1 g', 'Saturated fats': '3.3 g', 'Name': 'caraway seed'}]",
29,albacore,"bintoro, German bonito, longfin tuna, Pacific albacore, shiro maguro, white tuna",,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'tuna'}]",Thunnus alalunga
30,ale,"pale ale, porter, stout","There are two types of beer: lager, which is pale, light, and effervescent, and ale, which is heavier and more bitter. Types of ale include pale ale, porter, and stout.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'brown ale'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'India pale ale'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'porter ale'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'stout'}]",
31,Aleppo olives,,"This is a black, dry-cured Middle Eastern olive that's hard to find in the United States.",[],Olea europaea
32,Aleppo pepper,"Aleppo chili, Aleppo chilli, Halab pepper, Halaby pepper, Near Eastern pepper, pul biber, Turkish pepper, Turkish pepper flakes",,"[{'Carbs': '', 'Calories': '54.5 g', 'Salt': '289.2 Cals.', 'Fats': '60.4 mg', 'Cholesterol': '13.8 g', 'Name': 'cayenne pepper - ground'}]",
