,Name,Description,Also known as,Scientific name,Substitutions
14,apple brandy,"This exquisite brandy has a soft apple fragrance. Calvados = calva (cal-VAH-dohs) is the French version, applejack = apple jack is the inferior American version. Calvados is ranked much like cognac. The very best Calvados are labeled Napoleon, Extra Old (XO), Extra, or Hors D'Age. After that comes VSOP, Vieille Reserve, or VO. Next come Vieux or Reserve Calvados, then those with three stars or three apples on their labels.","apple jack (is the inferior American version), applejack (is the inferior American version), calva (cal-VAH-dohs the French version), Calvados (cal-VAH-dohs the French version), cider brandy, eau-de-vie de cidre, eau-de-vie de marc de cidre",,"['pear brandy', 'apple juice']"
15,apple cider,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.",,Malus domestica,['apple juice']
16,apple juice,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.",,Malus domestica,['apple cider']
17,apple schnapps,,,,[]
18,apricot brandy,"This is distilled from apricot juice. Brands include the French Abricotine, and the Hungarian Barack Pálinka.","Abricotine, barack, Barack Pálinka",,"['apricot liqueur', 'cherry brandy', 'orange liqueur']"
19,apricot liqueur,This liqueur tastes like both apricots and almonds.,,,"['apricot brandy', 'amaretto']"
20,aquavit,"This is made by Scandinavians, who distill it from potatoes or grains and flavor it with caraway seeds or other spices. They like to drink it chilled and straight, in small, narrow glasses. Don't confuse it with aqua vitae, or fruit brandy.","akevit, akvavit, snaps",,['vodka']
21,arak,"The name comes from the Arabic word for juice, and it's applied to a wide variety of somewhat harsh-tasting alcoholic beverages that are flavored with various herbs and spices, particularly anise.  It's fairly potent, and usually served as an apéritif.","arack, arrack, arraki, raki",,"['ouzo', 'grappa', 'aquavit']"
22,Armagnac,"This French brandy is similar to cognac, but with a more pronounced flavor.   Since their quality varies, Armagnac brandies don't share cognac's exalted reputation, but a good Armagnac compares favorably with any cognac.",,,['cognac']
23,aromatized wine,"These are wines, like vermouth and retsina, that have been flavored, usually with herbs and spices.",flavored wine,,[]
24,ascorbic acid,,,,['vinegar']
25,B&B,"Bénédictine liqueur is a tad too sweet for many people, so it's common to cut it with brandy.  Noting this, the producers of Bénédictine decided to produce their own blend.","B & B, B and B",,"['Bénédictine', 'Bénédictine']"
26,baijiu,Baijiu is a strong (40% to 60% alcohol) clear Chinese liquor. Its origins date back to the Han Dynasty around 150 BCE. Baijiu is normally made from fermented sorghum. Baijiu is presented in anything from elaborate gift bottles to sport drink bottles.,shaojiu,,[]
27,baker's caramel,,blackjack,,"['caramel coloring', 'Kitchen Bouquet', 'browning']"
28,balsamic vinegar,"This enormously popular Italian vinegar is prized for its sweet, fruity flavor and mild acidity. It's terrific for deglazing pans, dressing salads and vegetable dishes, and for seasoning everything from grilled meat to poached fruit. Its quality varies enormously. Expensive artisan-made balsamic vinegars (labeled traditional or tradizionale) are aged in wood barrels for at least 12 years and can cost over $100 per bottle. They're exquisitely complex, syrupy and only slightly acidic. Those who can afford them often drink them as they would a vintage port, or use them in desserts, where their sweetness and subtleties can be shown off to best advantage. Cheaper commercial brands are watered down with wine vinegar and artificially colored, but they're fine for most recipes.","aceto balsamico, aceto di balsamico",,"['brown rice vinegar', 'Chinese black vinegar', 'sugar', 'fruit vinegar', 'sherry vinegar']"
29,Banyuls,This is a red dessert wine that's produced in France.  It's one of the few wines that's good with chocolate.,,,"['port', 'black muscat wine', 'porter ale']"
30,Barbera,"This is a hearty red wine that's usually blended into jug wines, but sometimes sold as an inexpensive varietal wine",,,"['Chianti', 'Zinfandel']"
31,barley malt syrup,"This tastes a bit like molasses, and it's not as sweet as sugar or honey. It's mostly used to make beer, but it's also used to make breads or other baked goods.","barley syrup, dark malt syrup, extract of malted barley, malt syrup, malted cereal syrup",,"['molasses', 'brown rice syrup', 'maple syrup']"
32,Batavia arak,This is an aromatic rum that's produced in Java.,Batavia arrack,,[]
33,Bauchant,This is an orange liqueur.,,,"['Grand Marnier', 'Cointreau', 'triple sec']"
34,bayberry juice,,,,[]
35,Beaujolais,"This is a region in Eastern France that produces light, fruity, fresh-tasting red wines that are relatively low in alcohol.  Beaujolais wines should be drunk while young.",,,"['Gamay', 'Pinot Noir', 'Burgundy wine (red)', 'Chianti', 'Barbera']"
36,beef base,,,Bos taurus,"['beef bouillon cubes', 'beef broth']"
37,beef bouillon cubes,A bullion cube weighs 0.14 ounce and with water makes one cup.,,,"['beef broth', 'beef stock', 'veal stock', 'red miso', 'beef base']"
38,beef broth,,,Bos taurus,"['beef stock', 'beef base', 'water']"
39,beef stock,,,Bos taurus,"['beef broth', 'hatcho miso', 'beef base', 'water']"
40,beer,"Most beers are brewed from malted barley and flavored with hops, which makes them slightly bitter.  Beer is good with salty and spicy foods, like pretzels, pizza, and hot dogs, but it can also be used as a cooking ingredient, adding a pleasant bitterness to chili, stews, and soups, and softening the texture of baked goods.  If a recipe calls simply for beer, use a lager beer; a strong ale can easily overpower a dish.  De-alcoholized beers are also available.",,,"['Angostura® bitters', 'fruit juices', 'wine']"
41,Bénédictine,"This light green liqueur was first produced in the 16th century by a French monk, who combined various herbs, spices, and peels with brandy.  It's somewhat sweet by itself, so many people cut it with brandy or buy B&B, which is premixed Bénédictine and brandy.  The letters D.O.M. stand for Deo Optimo Maximo (To God, the best and greatest), which is the Bénédictine motto","Benedictine, Bénédictine D.O.M.",,"['B&B', 'Chartreuse', 'Drambuie']"
42,berry wine,"These wines are made from berries, including blackberries, loganberries, cranberries, elderberries, strawberries, raspberries, kiwi fruit, boysenberries, and currants.  They tend to be very sweet, and some are fortified to raise the alcohol level.  They're usually served chilled as a beverage, or poured on ice cream or fruit as a dessert.",,,['fruit liqueurs']
43,bitter liqueurs,"These are liqueurs and fortified wines that have a bittersweet flavor.  They're often mixed with soda and served as apéritifs.   These liqueurs are sometimes called bitters, but they're not as intensely flavored as the bitters that come in little bottles, which are normally measured out in drops.  Popular brands include Campari, Fernet Branca, Byrrh, Dubonnet, Punt è Mes,  Cynar, Suze, Jägermeister, and Amer Picon.","bitter spirits, bitters",,['bitters']
44,bitter orange juice,,"bigarade orange juice, Seville orange juice, sour orange juice",,"['lime', 'orange', 'orange juice']"
45,black currant vinegar,,"vinegar, black currant",Ribes nigrum,"['cranberry vinegar', 'blueberry vinegar']"
46,black muscat wine,"This is a late harvest dessert wine made with black muscat grapes and sometimes fortified with brandy.  Unlike many dessert wines, it goes well with chocolate.",,,"['Banyuls', 'port', 'porter ale']"
47,black tea,,"red tea, tea, black",,['coffee']
48,black treacle,"This is the British version of America's blackstrap molasses.  It's common in Britain, but hard to find in the United States. Look for it in specialty markets.  Don't confuse this with golden syrup, which is sometimes called light treacle.",dark treacle,,"['blackstrap molasses', 'molasses', 'golden syrup']"
49,blackberry liqueur,Kroatzbeere and Marie Brizard  are well-regarded brands.,"Kroatzbeere, Marie Brizard",,[]
50,blackstrap molasses,"This has a strong, bitter flavor, and it's not very sweet.  It's sometimes used to make chili.  Look for it in health food stores.","black strap molasses, molassas, blackstrap",,['black treacle']
51,blended whiskey,"Blended whiskies are mixtures of different kinds of straight whiskies and neutral spirits.  After they're blended, they're allowed to age together for awhile so that the flavors can marry.   Whiskey should be served at room temperature.",,,"['Bourbon whiskey', 'Scotch whisky']"
52,blueberry vinegar,,"vinegar, blueberry",Vaccinium sect. Cyanococcus,"['black currant vinegar', 'cranberry vinegar']"
53,blush Wine,"""Blush"" is displacing ""rosé"" as the name given to pink wines, though some people use the name rosé to describe darker pink wines.  Whatever name you give them, they're usually made from red grapes that are only allowed to ferment a few days--too short a time for the grape skins to impart a deeper color to the wine.  The result is a pink, fruity wine that's best served chilled and goes best with poultry, seafood, and spicy dishes.   These wines are quite popular, but wine snobs think they're boring.  Don't cook with these wines--they aren't flavorful enough.","pink wine, rose wine, rosé wine",,"['Gewürztraminer', 'Beaujolais', 'white wine']"
54,bock beer,"This is a sweet, strong-tasting lager beer that's heavy on the malt and light on the hops.  It's not as bitter as most beers.",bockbier,,['brown ale']
55,Bordeaux wine (red),"The Bordeaux region in France produces excellent red wines, especially in the districts of Médoc, Haut-Médoc, and St. Emilion.  These wines are rich and complex, and usually made with a blend of Cabernet Sauvignon, Cabernet Franc, and Merlot grapes.   Bordeaux wines with the generic label ""Bordeaux Wine"" usually aren't as good as those with more specific appellations, like ""St. Emilion Wine.""   Red Bordeaux wines go especially well with lamb and poultry.",claret,,"['Cabernet Sauvignon', 'Merlot', 'Burgundy wine (red)']"
56,Bordeaux wine (white),"The Bordeaux region in France is renown for its red wines, but it also produces excellent white wines, made with Sauvignon Blanc and Sémillon grapes.",,,['Sauvignon blanc']
57,Bourbon whiskey,"Though milder than Scotch, Bourbon is well regarded by whiskey connoisseurs.  To be called Bourbon, whiskey must be produced in Kentucky and be made mostly with corn.  Jim Beam is a popular brand, but more serious Bourbon lovers seek out Maker's Mark.  Whiskey should be served at room temperature.",,,"['blended whiskey', 'sour-mash whiskey', 'Scotch whisky', 'cognac', 'rum', 'water', 'sherry', 'bourbon extract']"
58,brandy,"Brandy is often served as an after-dinner drink, or added to coffee. According to legend, it was first produced when an enterprising sea captain distilled wine in order to save space on his ship. He planned to reconstitute it with water when he arrived at his home port, but those who sampled the new concoction liked it just the way it was.Today, most brandy is distilled from white wine, though red wine and other fermented fruit juices are also used. It's then aged in oak barrels for several years.To learn about different varieties of brandy, click here.",,,"['brandy extract', 'Bourbon whiskey', 'fruit syrup']"
59,breakfast cream,,qaimaaq,Bos taurus,['clotted cream']
60,brown ale,"This is a style of beer that's sweeter, darker, and less bitter than the typical American lager beer.",,,['bock beer']
61,brown rice syrup,"Health buffs like this because it contains complex sugars, which are absorbed more slowly into the bloodstream.  It's about half as sweet as ordinary table sugar. Some rice syrups include barley malt, and may pose a problem for people with gluten allergies.","rice bran syrup, rice malt, rice syrup, yinnie syrup",Oryza,"['maple syrup', 'molasses', 'barley malt syrup', 'honey']"
62,brown rice vinegar,,,Oryza,"['rice vinegar', 'cider vinegar']"
63,browning,,gravy browning,,"['Kitchen Bouquet', ""baker's caramel"", 'caramel coloring', 'soy sauce']"
64,Burgundy wine (red),"Burgundy is a region in eastern France that produces excellent red wines, but the Burgundy wines produced in the United States are usually inexpensive jug wines made from different grape varieties.",,,"['Beaujolais', 'Bordeaux wine (red)', 'Gamay', 'Gamay Beaujolais', 'Rioja']"
65,Burgundy wine (white),"Burgundy is a region in eastern France that produces excellent red and white wines. Some of the better wine-producing areas in Burgundy are Chablis and Pouilly-Fuissé, both of which produce exquisite white wines from Chardonnay grapes. Burgundy wines produced in the United States are usually inexpensive blends of different grape varieties.",,,['Bordeaux wine (white)']
66,buttermilk,"Despite its name and creamy consistency, buttermilk is relatively low in fat. It's sometimes tolerated by people with lactose intolerance since some of the lactose is fermented by bacteria. Most of the buttermilk found in supermarkets is cultured buttermilk, made by adding a bacterial culture to low-fat or nonfat milk. More authentic and tasty, though, is churn buttermilk, which is the liquid that remains after milk is churned into butter. Since recipes often call for just small amounts of buttermilk, many cooks use reconstituted powdered buttermilk. Churn buttermilk may require longer baking times than ordinary commercial buttermilk.",,Bos taurus,"['molasses', 'milk 3.5%', 'lemon juice', 'milk 3.5%', 'cream of tartar', 'yogurt']"
67,Byrrh,This is a tangy and bittersweet French vermouth that's made with quinine and red wine. It's usually mixed with club soda.,,,"['Dubonnet', 'Punt è Mes', 'Suze']"
68,Cabernet Franc,"Cabernet Franc grapes are related to Cabernet Sauvignon, but they make for a lighter, fruitier wine.  The wine is often blended with others, but sometimes sold as a varietal wine.",,,"['Bordeaux wine (red)', 'Cabernet Sauvignon', 'Merlot', 'Zinfandel']"
69,Cabernet Sauvignon,"Cabernet Sauvignon grapes make a hearty, complex red wine that's especially good with roasted meats and heavy stews.  Domestic Cabernets are often excellent.",Cab,,"['Bordeaux wine (red)', 'Merlot', 'Zinfandel']"
70,cachaça,"This sugarcane brandy is made in Brazil, where the name means ""burning water.""  Velho Barreto is a well-regarded brand.","burning water, cachaca, pinga",,"['white rum', 'tequila', 'grappa', 'marc']"
71,calamondin juice,,,,"['kalamansi juice', 'key lime juice']"
72,Campari,"This popular Italian bitters is often mixed with soda, ice, and a twist of lemon and served as an apéritif.",Campari bitters,,"['Fernet Branca', 'Punt è Mes', 'Suze']"
73,Canadian whisky,"These blended whiskies have a lighter body than those made in the United States.  Crown Royal and Canadian Club are popular brands.  Canadians follow the British convention of spelling whisky without an ""e.""  Whiskey should be served at room temperature.",,,"['Irish whiskey', 'Scotch whisky', 'blended whiskey', 'vanilla extract', 'sherry']"
74,cane vinegar,"This is made from sugar cane syrup, and varies in quality. You can get cheap cane vinegar in Filipino markets, but the Vinegarman at www.vinegarman.com recommends that you hold out for the smoother Steen's Cane Vinegar, which is made in Louisiana.",sukang iloko,,"['white vinegar', 'white wine vinegar', 'rice vinegar']"
75,caramel coloring,,burnt sugar caramel,,"['water', 'Kitchen Bouquet', 'browning']"
76,carrot juice,,,Daucus carota,[]
77,cassis liqueur,,,,[]
78,Chablis,"If made in France, this is a very dry, delicately flavored white wine that's made with Chardonnay grapes.  It's great with seafood, especially oysters.  If made domestically, like a California Chablis, it's a sweet and cheap jug wine.",,,"['Pouilly-Fuissé', 'Chardonnay', 'Pinot blanc', 'Sauvignon blanc', 'Muscadet', 'vermouth']"
79,chamomile tea,,"tea, chamomile",,[]
80,champagne,,,,"['apple cider', 'ginger ale']"
81,champagne vinegar,This light and mild vinegar is a good choice if you're want to dress delicately flavored salads or vegetables. Mix it with nut or truffle oil to make a sublime vinaigrette.,,,"['white wine vinegar', 'rice vinegar', 'raspberry vinegar', 'cider vinegar']"
82,Chardonnay,"This elegant white varietal wine is crisp and dry, and great with seafood, poultry, ham, egg dishes, salads, and any dish with a rich cream sauce.  California Chardonnays are often excellent.",Pinot Chardonnay,,"['Pinot blanc', 'Chablis', 'Muscadet', 'vermouth']"
83,Chartreuse,This excellent herbal liqueur is said to contain over 125 ingredients.  It comes in two colors:  green Chartreuse and the sweeter and less potent yellow Chartreuse.,Liqueur des Pères Chartreux,,"['Strega', 'Izarra', 'Bénédictine', 'Drambuie']"
84,Châteauneuf-du-Pape,"This is a village in Provence that's known for its excellent red wines, which are blended from as many as 13 grape varieties.   These wines tend to be pricey.",,,[]
85,Chenin blanc,"This is a grape variety that's often blended with others to make inexpensive white jug wines and domestic Chablis.  It's relatively inexpensive and goes well with salads, seafood, poultry, ham, and spicy foods.",White Pinot,,"['Pinot blanc', 'Chablis', 'vermouth']"
86,Cheri Suisse,This is a chocolate and cherry flavored liqueur.  It's often mixed with milk.,Chéri Suisse,,['chocolate liqueurs']
87,cherry brandy,,,,['apricot brandy']
88,cherry liqueurs,"There are many varieties of cherry liqueurs, including the chocolate-flavored Chéri Suisse, Cherry Heering = Peter Heering, crème de cerise, Cherry Rocher, Kirschenliqueur, Cherry Grand Marnier = Cherry Marnier, and Maraschino liqueur.","Cherry Grand Marnier, Cherry Heering, Cherry Marnier, Cherry Rocher, Kirschenliqueur, Peter Heering",,"['port', 'kirsch', 'cherry flavoring']"
89,Chianti,"A lot of cheap domestic red wines go by this name, but the real thing comes from Tuscany and has a seal of authenticity on the neck.  Italian Chianti is a hearty wine that's great with Italian food",,,"['Zinfandel', 'Beaujolais', 'Syrah']"
90,chicken base,,,Gallus gallus domesticus,"['water', 'chicken broth']"
91,chicken bouillon cubes,One chicken bouillon cube weighs 0.14 ounce and with water makes one cup of broth.,,,"['chicken base', 'chicken broth', 'chicken stock']"
92,chicken broth,,,Gallus gallus domesticus,"['chicken stock', 'chicken base', 'water']"
93,chicken stock,,,Gallus gallus domesticus,"['chicken broth', 'vegetable broth', 'chicken base', 'water']"
94,Chinese black vinegar,"The best Chinese black vinegars are produced in the province of Chinkiang (or Chekiang or Zhejiang--there are many spellings). Black vinegar is more assertive than white rice vinegar, and it's often used in stir-fries, shark's fin soup, and as a dipping sauce. Gold Plum is a well-regarded brand.","black rice vinegar, black vinegar, brown rice vinegar, Chekiang vinegar, Chenkong vinegar, Chinese brown rice vinegar, Chinkiang vinegar, Zhejiang vinegar",,"['balsamic vinegar', 'red rice vinegar', 'cider vinegar', 'red wine vinegar', 'Worcestershire sauce']"
95,chocolate liqueurs,"There are many well-regarded brands of chocolate liqueur, including Godiva, Truffles, Mozart, and Hagen Daz.  Some liqueurs combine chocolate with other flavors, like Cheri Suisse, Vandermint, and Tiramisu.","Hagen Daz, Mozart, Truffles",,"['crème de cacao', 'Vandermint', 'Tiramisu', 'chocolate syrup', 'coffee liqueurs', 'chocolate extract']"
96,cider vinegar,"Made from fermented apples, this fruity vinegar is inexpensive and tangy. While it's not the best choice for vinaigrettes or delicate sauces, it works well in chutneys, hearty stews, and marinades. It's also used to make pickles, though it will darken light-colored fruits and vegetables.",apple cider vinegar,,"['malt vinegar', 'white vinegar', 'wine vinegar']"
97,Citrónge,This is a Mexican orange liqueur.,Citronge,,[]
98,clabber cream,,"clabber, clabbered cream",Bos taurus,"['buttermilk cheese', 'ricotta cheese', 'créme fraîche']"
99,clam juice,,clam nectar,,"['fish broth', 'water']"
100,clotted cream,See the Making Your Own Devonshire or Clotted Cream or Mock Devonshire Clotted Cream postings on RecipeSource.com.,"Devon cream, Devonshire cream",Bos taurus,['breakfast cream']
101,coconut butter,,,Cocos nucifera,['grated coconut']
102,coconut cream,Don't confuse this with cream of coconut.,,Cocos nucifera,"['grated coconut', 'grated coconut', 'coconut milk', 'coconut milk', 'coconut extract', 'cream']"
103,coconut extract,,,Cocos nucifera,"['coconut cream', 'coconut milk', 'coconut syrup']"
104,coconut juice,,nam katee,Cocos nucifera,['water']
105,coconut milk,"This is available in liquid form (in cans or aseptic containers), frozen, and as a powder. Don't confuse coconut milk with coconut water, which is the liquid found in the center of a fresh coconut, or with the sweetened cream of coconut powder used in mixed drinks. Varieties: Light (or ""lite"") coconut milk has less fat and about a quarter of the calories of the regular version, but doesn't taste nearly as rich. You can reduce the fat (and calories) in a can of regular coconut milk by letting it settle, and then skimming and discarding some of the thick coconut cream off the top. Lighten what's left even more by diluting it with water or chicken broth. Where to find it: Asian foods section of many supermarkets.",,Cocos nucifera,"['water', 'coconut cream', 'milk 3.5%', 'water', 'coconut', 'coconut cream', 'coconut cream']"
106,coconut rum,This is white rum flavored with coconut.   Malibu Rum and CocoRibe are well-known brands.,"CocoRibe, Malibu Rum",,['Irish cream liqueur']
107,coconut syrup,"Hawaiians like to pour this syrup on pancakes, but it's also used in several mixed drinks. To make your own: See the recipe for coconut syrup posted on kitchenmixes.com.",,Cocos nucifera,['cream of coconut']
108,coconut vinegar,"This is a somewhat harsh and potent vinegar that's common in the Philippines, Southeast Asia, and southern India.",suka ng niyog,,"['cane vinegar', 'water', 'white wine vinegar', 'cider vinegar']"
109,coconut water,This is the liquid found inside a coconut.,coconut juice,Cocos nucifera,['coconut']
110,coffee,,,Coffea arabica,"['tea', 'milk 3.5%']"
111,coffee filter,,,,['paper towels']
112,coffee grinder,,,,"['blender', 'pepper mill']"
113,coffee liqueurs,"Coffee-flavored liqueurs are used to make Black and White Russians and other mixed drinks.   Popular brands include Mexico's Kahlúa and the rum-based Tía Maria from Jamaica.
See the (Substitute for) Kahlua recipe posting on SOAR, or the Tia Maria recipe posted by Bar-None.",,,"['chocolate liqueurs', 'cognac', 'rum']"
114,cognac,"The very best cognacs are labeled VVSOP, Napoleon, Vieille Reserve, Grand Reserve, Royal, or Vieux. Next in the rankings are cognacs labeled Extra Old (XO), Extra, or Hors D'Age. After that comes VSOP (Very Superior Old Pale), Reserve, or VO. Next come cognacs with VS or *** on their labels.  Connoisseurs also check for the cru, or place where the cognac was made. The best crus are Grande Champagne and Petite Champagne.",,,"['Armagnac', 'brandy']"
115,Cointreau,"This is an orange liqueur that’s not as well regarded as Grand Marnier, but considered a step above curaçao and triple sec.",,,"['Grand Marnier', 'curaçao', 'triple sec', 'orange juice']"
116,cold duck,This is a sweetened blend of sparkling wines. It's cheap and tastes like it.,,,"['champagne', 'sparkling cider']"
117,cooking wine,"You should never cook with a wine you wouldn't drink, but some ""cooking wines"" sold at stores violate this maxim. Avoid them and instead cook with inexpensive, but drinkable, table wines. Avoid putting wine in aluminum or iron pans for prolonged periods.",,,['table wine']
118,corn syrup,"This is a thick, sweet syrup that's popular in America, but hard to find in other countries.   Unlike other sweeteners, corn syrup doesn't crystallize and turn grainy when it's cold, so it's a good choice for frostings, fudge sauces, and candies.  Baked goods made with corn syrup are moister and stay fresher longer than those made with sugar.  There are two types:  dark corn syrup is dark brown and has a slight molasses flavor, while light corn syrup is almost clear and has a more delicate flavor.  The two can be used interchangeably in many recipes.  Karo is a well-known brand.  Store corn syrup at room temperature.",,,"['golden syrup', 'honey', 'molasses']"
119,corn whiskey,"Like Bourbon, corn whiskey is made from corn, but it's not nearly as elegant and smooth as its pricier relative.  It's a bit hard to find, but some brands--like Platte Valley, Virginia Lightning and Turkey Mountain--are still being produced. Whiskey should be served at room temperature.","hooch, moonshine, white lightning",,['whiskey']
120,cranberry juice,See the recipe for Cranberry Juice posted by Veggies Unite!,,Vaccinium macrocarpon,"['grape juice', 'pineapple juice', 'pomegranate juice']"
121,cranberry liqueur,Boggs is a well-regarded brand.,Boggs,,['raspberry liqueur']
122,cranberry vinegar,,,Vaccinium macrocarpon,"['raspberry vinegar', 'sugar']"
123,cream,"Creams vary according to the amount of butterfat they have. Lightest of all is half & half, which is half milk, half cream and weighs in with a butterfat content between 10.5 - 18%.  It can't be whipped, but it's nice with coffee, or on cereal.  Light cream = coffee cream = table cream is richer at 18 - 30% fat, but it still can't be whipped.  Light whipping cream = whipping cream (with a butterfat content of 30 - 36%) and heavy cream = heavy whipping cream (with at least 36% fat) are heavy enough to whip, and aren't as prone as lower-fat creams to curdling in sauces. The higher the butterfat content, the less beating is required to get whipped cream.  Europeans go for even heavier creams, like double cream (with a butterfat content of 42%), extra-thick double cream, and clotted cream = Devonshire cream, which is often spread like butter over scones. Look for clotted cream in large supermarkets, but (perhaps luckily) the double creams are very hard to find. You can buy ultra-pasteurized versions of these creams, but they tend to have a burnt milk taste and don't whip as well.",,Bos taurus,"['evaporated milk', 'yogurt']"
124,cream of coconut,"Don't confuse this with coconut cream, which is used in Asian dishes. Cream of coconut is thick and very sweet, and commonly used in mixed drinks. Where to find it: liquor stores, available in liquid and powdered forms.",,,['coconut extract']
125,crema,"Cremas are the Hispanic version of sour cream.  This category includes crema mexicana, which is similar to crème fraîche; crema centroamericana, which is a bit thicker and sweeter than crema mexicana; crema media, which is like whipping cream; crema Mexicana agria, which is thicker and more acidic than crema Mexicana and often used for savory dishes; and crema salvadoreña, which is thick like sour cream. Look for it in Mexican and Central American grocery stores.","crema centroamericana, crema media, crema mexicana, crema mexicana agria, crema salvadoreña",Bos taurus,"['sour cream', 'créme fraîche']"
126,crème d'abricots,This is a crème liqueur that has an apricot flavor.,creme d'abricots,,['apricot liqueur']
127,crème d'amande,This is a crème liqueur that has an almond flavor,creme d'amande,,"['amaretto', 'almond liqueur']"
128,crème d'ananas,This is a crème liqueur that has a pineapple flavor.,creme d'ananas,,['crème de banane']
129,crème de banane,This is a crème liqueur that has a banana flavor.  It's often used to make banana daiquiris.,creme de banane,,"[""crème d'ananas""]"
130,crème de cacao,This is a crème liqueur that has a chocolate flavor.   Buy either white (actually clear) or dark crème de cacao--they both taste the same.,creme de cacao,,"['chocolate liqueurs', 'Cheri Suisse', 'Vandermint', 'coffee liqueurs', 'chocolate syrup']"
131,crème de café,This is a crème liqueur that has a coffee flavor.,creme de cafe,,['coffee liqueurs']
132,crème de cassis,"This is a crème liqueur made with black currants and rum.  It's very sweet, and often mixed with white wine to make kir.",creme de cassis,,"['currant syrup', 'raspberry liqueur']"
133,crème de cerise,This is a crème liqueur that has a cherry flavor.,creme de cerise,,"['cherry liqueurs', 'kirsch']"
134,crème de chocolat,This is a crème liqueur that has a chocolate flavor.,creme de chocolat,,['crème de cacao']
135,crème de cumin,This is a crème liqueur that's flavored with caraway seeds,creme de cumin,,['kümmel']
136,crème de fraise,This is a crème liqueur that has a strawberry flavor.,"creme a la fraise des bois, crème á la fraise des bois, creme de fraise",,"['crème de framboise', 'crème de cassis']"
137,crème de framboise,This is a crème liqueur that has a raspberry flavor.,creme de framboise,,"['crème de fraise', 'crème de cassis']"
138,crème de griotte,This is a crème liqueur that's flavored with sour Morello cherries,,,['crème de cassis']
139,crème de mandarine,This is a crème liqueur that has a mandarin orange flavor.,creme de mandarine,,['orange liqueur']
140,crème de menthe,"This is a crème liqueur that has a peppermint flavor.  It's used to make several mixed drinks, but many people like it all by itself as an after-dinner drink.  Sometimes it's clear, but more often green, gold, or red food coloring is added.",creme de menthe,,"['peppermint schnapps', 'peppermint extract', 'peppermint oil']"
141,crème de mûre,This is a crème liqueur that's flavored with blackberries.,creme de mure,,['crème de cassis']
142,crème de myrtille,This is a crème liqueur that's flavored with blueberries.,,,['crème de cassis']
143,crème de noix,This is a crème liqueur that has a walnut flavor.,creme de noix,,"['walnut liqueur', 'hazelnut liqueur', 'amaretto', 'brandy']"
