,Name,Description,Also known as,Scientific name,Substitutions
37,candlenut,"Candlenuts must be cooked before eating, since they're highly toxic when raw.  Ground candlenuts are often used to thicken Malaysian and Indonesian curries. They're so oily that natives string them together and use them as candles. Look for them in Southeast Asian markets.","buah keras, candle nut, candleberry, country walnut, godou, Indian walnut, kemiri",Aleurites moluccanus,"['macadamia nut', 'Brazil nut', 'cashew', 'almonds, blanched']"
38,cannellini bean,You've probably already encountered this Italian bean in minestrone soup or a bean salad.  It's prized for its smooth texture and nutty flavor.,"fazolia bean, white kidney bean",Phaseolus vulgaris,"['fresh cannellini bean', 'Great Northern bean', 'navy bean', 'calypso bean', 'flageolet bean']"
39,cashew,"These rich, sweet nuts have a toxic shell, so they're almost always sold shelled. Toast them briefly in the oven to boost their flavor.",cashew nut,Anacardium occidentale,"['peanut', 'pine nut', 'almond', 'pecan', 'water chestnut']"
40,cashew butter,"This is an interesting alternative to peanut butter, though it's a bit pricey.",,Anacardium occidentale,['cashew']
41,cashew flour,This is hard to find.,,Anacardium occidentale,['nut flour']
42,channa dal,"With their sweet and nutty flavor, these are the most popular dal in India.  They're made from splitting a small relative of the chickpea in half.  They're a dull yellow and are renown for causing flatulence, which Indians try to counter by adding asafoetida to the dish.","chana dal, gram dal",Cicer arietinum,"['toor dal', 'yellow pea', 'chickpea']"
43,chepil,Look for this in the produce section of Hispanic markets.,"chepilin, longbeak rattlebox",Crotalaria longirostrata,['green bean']
44,chestnut,"These sweet, starchy, low-fat nuts are quite common in southern Europe, where people eat them hot from the roaster, or add them to soups, stuffing, and desserts. They appear fresh in the fall and winter, but you can find them dried, vacuum-packed, or canned throughout the year. Before you can eat them, fresh chestnuts need to be boiled or roasted, and then shelled and peeled. To roast them, cut an X into each shell (to allow steam to escape) and bake them in a 400° oven for about twenty minutes. While they're still warm, peel off both the shell and the furry skin surrounding each nut. Alternatively, boil the chestnuts for about 15 minutes, then remove them from the water with a slotted spoon. Peel off the shells and put the nuts back in the boiling water for another minute, then remove them again and peel off the skins. Select fresh chestnuts that are shiny and heavy for their size. Store them in the refrigerator and use them within a week or so. Don't confuse chestnuts with water chestnuts, which are completely different.",marron,Castanea,"['breadnut seeds', 'jackfruit seed', 'chufa', 'hazelnut', 'pecan']"
45,chestnut cream,"This is made with puréed chestnuts, brown sugar, and vanilla. It's used as an ingredient in several desserts, including Mont Blanc. Refrigerate after opening.",crème de marron,Castanea,"['chestnut purée', 'hazelnut paste']"
46,chestnut flour,"Italian use chestnut flour to make rich desserts, and sometimes breads and pasta. It also makes terrific pancakes. Don't confuse it with water chestnut flour, which is used in Asian cuisine.","farina di castagne, roasted chestnut flour, sweet chestnut flour",Castanea,"['almond flour', 'hazelnut flour']"
47,chestnut purée,"Europeans use this to make everything from soups to stuffings to desserts.  You can buy it either sweetened or unsweetened.  If you're not sure which one your recipe is calling for, get unsweetened purée and add sugar later if needed.","chestnut puree, purée de marron",Castanea,['chestnut']
48,chickpea,"This nutty-flavored pea is a staple of Middle Eastern and Mediterranean cuisine, where it's used to make everything from hummus to minestrone soup.   Many cooks buy them canned, since the dried peas are hard and take a long time to soak and cook.   Substitutes:  great northern beans (for hummus).","Bengal gram, ceci bean, chick-pea, chole, cici bean, Egyptian pea, garbanzo bean, garbanzo pea, garbonzo bean, gram, kabli chana, kabli channa, kabuli channa, pois chiches, white chickpea",Cicer arietinum,"['lima bean', 'black chickpeas']"
49,chili bean,"These are very similar to pinto beans, only they're smaller and rounder.   They're often used to make chili and refried beans.",pink bean,,"['pinto bean', 'rattlesnake bean', 'red kidney bean']"
50,Chinese almond,"These aren't really almonds at all, but apricot kernels.   They taste a lot like bitter almonds, and have a rich, heavenly almond-extract fragrance.  They're mildly toxic if eaten raw, so they should always be roasted or blanched before using.  Look for plastic bags of them in Chinese markets.","apricot seed, dried almond, hang yen",Prunus armeniaca,"['bitter almond', 'bitter almond', 'almond extract', 'almond']"
51,chowli dal,These are black-eyed peas that have been skinned and split. Look for them in Indian markets.,,Vigna unguiculata,[]
52,Christmas lima bean,These taste a bit like chestnuts when cooked.,chestnut lima bean,Phaseolus lunatus,['lima bean']
53,chufa,"These are popular in Spain and Latin America, where they're used to make horchata. They aren't really nuts, but starchy tubers that taste like chestnuts.","chufa nut, earth almond, earth nut, Florida almond, rush nut, tiger nut",Cyperus esculentus,"['almond', 'chestnut']"
54,coco de Paimpol,The French use coco de Paimpol beans for their cassoulets. These white beans are originally from South America.,"cassoulet beans, coco bean, coco blanc bean",Phaseolus vulgaris,"['tarbais bean', 'navy bean']"
55,cranberry bean,"These have an excellent, nutty flavor, and are commonly used in Italian soups and stews.","borlotti bean, crab eye bean, fagiolo romano, Roman bean, rosecoco bean, saluggia, salugia bean, shell bean","Phaseolus vulgaris, cranberry","['fresh cranberry bean', 'tongues of fire bean', 'cannellini bean', 'Great Northern bean', 'pinto bean', 'chili bean']"
56,dal,"Dal is the Indian term for peas, beans, or lentils that have been split and often skinned, but the name is sometimes used for all lentils, peas, or beans, or to cooked dishes made with them. Split lentils don't hold their shape well, so they're often cooked into soups or purées.","daal, dhaal, dhal, dhall",Lens culinaris,['Lentils']
57,deep-fried tofu,"Frying tofu makes it a chewier and tastier.  Both the Japanese and Chinese have their own ready-made versions of deep-fried tofu, and you can find them in cellophane bags and cans in Asian markets.  You can also make deep-fried tofu yourself by frying thin slabs of firm tofu in hot oil.","deep-fat fried tofu, fried bean curd",Glycine max,"['abura-age', 'atsu-age', 'seitan']"
58,dragon tongue bean,"You can eat these, pods and all, just like green beans.",,Phaseolus vulgaris,['green bean']
59,dried beans,"	Beans are low in fat and loaded with nutrients, and we'd probably eat more of them if they weren't also loaded with flatulence-producing enzymes.  There are ways to enjoy beans without having to forego social appointments, however.  One is to change the water from time to time while you're soaking or cooking the beans.   Pouring off the water helps gets rid of the indigestible complex sugars that create gas in your intestine.  It also helps to cook the beans thoroughly, until they can be easily mashed with a fork.  Most bean aficionados prefer dried beans, but canned beans are also available.  These don't need to be cooked, but they tend to be saltier and less flavorful than reconstituted dried beans.",shellouts,,['fresh beans']
60,dried chestnut,"You reconstitute these by boiling them for about an hour.  They're available in Italian markets, but you'll usually pay less if you get them in an Asian market.",,Castanea,[]
61,dried fava bean ,"These meaty, strongly flavored beans have been around for ages, and they work well in sides dishes, soups, or salads. Tender fresh fava beans are available in the fall and are much better tasting than canned, dried, or frozen ones. Cook them before eating.About 400 million people worldwide have favism, an enzyme deficiency. Eating fava beans can cause adverse symptoms in some of them.","broad bean, butter bean, English bean, faba, feve, fool, foul, ful, haba, habas, horse bean, Windsor bean",Vicia faba,"['fresh fava bean', 'lima bean', 'brown bean', 'chickpea', 'soybean']"
62,Dried Peas,"Like beans, shelled peas are packed with both healthful nutrients and flatulence-producing enzymes.  Since the water that you soak and cook the peas in absorbs some of the indigestible sugars that make you gassy, it helps to rinse the peas after soaking, and then use fresh water when you cook them.  Split peas don't need to be soaked and cook quickly.",field peas,,['fresh peas']
63,edamame,"These are fresh soybeans, that are usually sold shelled and frozen, but you can sometimes find them in the produce section, still in their pods. They're rich in protein, fiber, and other nutrients.Fresh edamame pods make great, healthy appetizers. Just steam the pods and have your guests split the pods open and eat the beans inside.Edamame, whether fresh or frozen, is terrific in soups and salads. ","beer bean, edible soybean, garden soybean, green soybean, immature soybean, sweet bean, vegetable soybean",Glycine max,"['garden pea', 'fresh black-eyed pea']"
64,Egyptian white broad bean,,,,['chickpea']
65,European soldier bean,,red eye bean,,['navy bean']
66,extra-firm tofu,"This isn't as moist as firm tofu, so it holds its shape better and absorb more flavors.   Store tofu in the refrigerator, changing the water daily, and use it within a week.  Freezing it will make it chewier and give it a meatier texture.    Look for cakes of it in plastic tubs in the refrigerated sections of supermarkets and health food stores.",,Glycine max,"['firm tofu', 'pressed tofu', 'atsu-age']"
67,eye of the goat bean,"his heirloom bean stays firm and richly colored after cooking, so it's great as a side dish or in salads.",eye of goat bean,,[]
68,fermented bean curd,"This looks innocent enough, like cubes of tofu immersed in a broth, but it has a very pungent aroma and strong, cheesy flavor.  It comes in two colors.  The white version is often served with rice or used to flavor soups and vegetable dishes, while the red often accompanies meats.  Look for it in jars or crocks in Asian markets.   Store it in the refrigerator after you've opened it, keeping the cubes immersed in liquid or oil to prevent them from drying out and discoloring.","bean cheese, fermented bean cake, foo yi, foo yu, fu yu, preserved bean curd, wet bean curd",Trigonella foenum-graecum,['red bean curd']
69,fermented black bean,"These come in plastic bags, boxes, or in cans.  Those in the plastic bags are considered the best.  Cooks disagree about whether they should be soaked or rinsed before using.","black beans in salted sauce, black salted fermented bean, Chinese black bean, dow see, salted black bean, salty black bean",Trigonella foenum-graecum,['soybean']
70,firm tofu,"Choose this style of tofu if you want to cut it into cubes for stir-frying or crumble it into salads.  Rinse and drain the tofu before you use it.  Tofu will absorb more flavors and hold its shape better if you press out some of the water before marinating or cooking it.  To do so, place the tofu on several layers of paper towels or cheesecloth, cover it with plastic wrap, and put something heavy on it.  Do this for at least an hour, or put the whole assembly in a pan and set it in the refrigerator overnight.  Store tofu in the refrigerator, changing the water daily, and use it within a week.  Freezing firm tofu will make it chewier and give it a meatier texture.    Look for cakes of it in plastic tubs in the refrigerated sections of supermarkets and health food stores.",,Glycine max,"['extra-firm tofu', 'regular tofu', 'pressed tofu', 'atsu-age', 'paneer cheese', 'chicken', 'feta']"
71,flageolet bean,"The French make good use of this small, creamy bean, often serving it with lamb.",fayot bean,"Phaseolus vulgaris, flageolet",['Great Northern bean']
72,French green lentils,"These choice lentils were originally grown in the volcanic soils of Puy in France, but now they're also grown in North America and Italy.  They're especially good in salads since they remain firm after cooking and have a rich flavor.  They cook a bit slower than other lentils.","lentilles du Puy, lentilles vertes du Puy, Puy lentils",,"['beluga lentil', 'brown lentil', 'masoor']"
73,fresh beans,"Fresh beans appear in the summer and fall, and they're sweeter and more tender than dry beans. You don't need to soak them or cook them as long as dried beans, but they often need to be shelled before using.You can usually substitute them with dried beans pound for pound.","shellies, shellouts, shelly beans, shuckies",Phaseolus vulgaris,['dried beans']
74,fresh black-eyed pea,"In their fresh form, black-eyed peas are pale green and have a wonderful, nutty flavor.  Unlike dried black-eyed peas, they don't need to be soaked, and they cook much faster.  They arrive in markets during the late summer and early fall.","fresh black-eye bean, fresh black-eye pea, fresh black-eyed suzy, fresh chawli, fresh China bean, fresh cowpea, fresh crowder pea, fresh lobhia, fresh lombia, fresh poor man's pea, fresh Southern pea",Vigna unguiculata,['black-eyed pea']
75,fresh cannellini bean,,"fresh fazolia bean, fresh white kidney bean",Phaseolus vulgaris,['cannellini bean']
76,fresh cranberry bean,These are available in the summer months.,"fresh borlotti bean, fresh crab eye bean, fresh fagiolo romano, fresh Roman bean, fresh rosecoco bean, fresh saluggia, fresh shell bean, salugia bean",Phaseolus vulgaris,['cranberry bean']
77,fresh fava bean,"Fresh fava beans are available in the summer and are much better tasting than canned, dried, or frozen ones. Young fava beans need only be shelled, but more mature beans should also be peeled to rid them of the tough, waxy skin that surrounds each bean. The best way to do this is to blanch the shelled beans for a minute in boiling water, plunge them into cold water, and pull off the skins.Select large fava beans that don't have black spots on them, Larger ones are the best.About 400 million people worldwide have favism, an enzyme deficiency. Eating fava beans can cause adverse symptoms in some of them.","fresh broad bean, fresh butter bean, fresh English bean, fresh horse bean, fresh Windsor bean",Vicia faba,"['dried fava bean ', 'fresh lima bean', 'chickpea']"
78,fresh lima bean,"These are exquisitely sweet and tender, as long as you get to them soon after they're picked.   The freshest pods are brightly colored and snap crisply when you bend them.   Fresh lima beans don't need to be soaked and you need only cook them about 15 minutes.","fresh butter bean, fresh Madagascar bean, fresh wax bean",Phaseolus lunatus,"['garden pea', 'lima bean']"
79,fresh peas,"	Fresh peas are sweeter and more tender than their dry counterparts.  To shell one, just pull down the string and squeeze the pod at the seams, then scrape out the peas and discard the pods.  As with corn, freshness is crucial since peas begin converting their sugar into starch as soon as they're picked.  The freshest pods are brightly colored and snap crisply when you bend them.   Fresh peas don't need to be soaked and they cook fairly quickly.","shellies, shellouts, shellpeas, shuckies",Pisum sativum,"['avocado', 'Dried Peas']"
80,garden pea,"These appear in the summer months, and they're so sweet that it's well worth the trouble to shell them. Freshness is crucial, so look for brightly colored pods that are crisp enough to snap.  Petits pois are a small and tender variety.","English pea, fresh pea, green pea, shell pea",Pisum sativum,"['edamame', 'fresh lima bean']"
81,gingko nut,"These nuts date back some 150 million years, and are believe to be a powerful aphrodisiac.   Asian cooks like to use them in desserts and stir-fries.  They're available in Asian markets either fresh (in the fall), canned, or dried.  To prepare fresh nuts, crack open their shells and then pour boiling water over the nutmeats.  Let them soak for about ten minutes until their skins are loose.  Peel off the skins, then put the nutmeats in a pot full of boiling water, let it simmer for about thirty minutes, then drain.  Canned nuts have already been shelled, skinned and boiled, but they're mealier than fresh nuts.  Rinse them before using.",white nut,Ginkgo biloba,"['almonds, blanched', 'pine nut']"
82,Great Northern bean,These mild white beans are often used in cassoulets and stews.,,Phaseolus vulgaris,"['navy bean', 'cannellini bean', 'flageolet bean', 'lima bean']"
83,green bean,"These are meant to be cooked and eaten, pods and all.  They're best if they're steamed or stir-fried just until they're tender but still crisp.  Select bright green beans that snap when broken in half.  Their peak season is in the summer.","Baguio beans, French beans, snap bean, string bean",Phaseolus vulgaris,"['wax bean', 'Italian flat bean', 'dragon tongue bean', 'winged bean']"
84,green pea,"It's best to buy them split, since split peas don't need to be soaked and cook fairly quickly.  They're commonly used to make soups.","green matar dal, split pea",Pisum sativum,['yellow pea']
85,haricot verts,"This is a very thin variety of green bean that's crisp, tender, and expensive.  Don't confuse this with the haricot bean, which is a dry bean.","French bean, French filet bean, French green bean",Phaseolus vulgaris,['green bean']
86,hatcho miso,"This is a very strong, salty version of miso that's made with soybeans and aged for up to three years.  It's reddish-brown, somewhat chunky, and  often used to flavor hearty soups.","dark miso, hat-cho miso, mame miso, mamemiso",Glycine max,['red miso']
87,hazelnut,"Hazelnuts have a crunchy texture and an appealing flavor that goes especially well with chocolate.  Unshelled nuts show up in the produce department of larger supermarkets in the fall and winter. Shelled nuts are available year-round near the baking supplies.  Before you use them, toast shelled hazelnuts in a 325° oven for ten to fifteen minutes, stirring occasionally. As soon a you take them from the oven, rub the nuts vigorously with a towel to remove their bitter brown skins.","cobnut, filbert",Corylus avellana,"['beechnut', 'almond', 'walnut', 'pecan', 'Brazil nut', 'macadamia nut']"
88,hazelnut butter,"This is similar to peanut butter, only it's made with roasted hazelnuts.",,Corylus avellana,"['sugar', 'chocolate-hazelnut spread']"
89,hazelnut flour,"This is ground from the cake that remains after the oil is pressed from hazelnuts. This is hard to find, but you can order it from Baker's Find (1-800-966-BAKE) or online from from King Arthur Flour.",filbert flour,Corylus avellana,"['walnut flour', 'almond flour']"
90,hazelnut meal,This is used to make cookies and other desserts.,"filbert meal, ground filberts, ground hazelnuts",Corylus avellana,['hazelnut']
91,hazelnut paste,This is used as a filling in candies and baked goods. Look for it in specialty shops or Middle Eastern markets.,pasta nocciola,Corylus avellana,"['powdered sugar', 'chocolate-hazelnut spread']"
92,hickory nut,"These are delicious, but they aren't grown commercially because the shells are so hard.  Pecans are a very close relative.",,Carya,['pecan']
93,horse gram lentil,"A staple of many Indian farm families, horse gram has an assertive, earthy flavor.","horse gram Indian brown lentil, kulith",,['channa dal']
94,Italian flat bean,"These green or yellow beans are like ordinary green beans, but they're flatter.   Select small, brightly colored beans that snap when you break them in half.","helda beans, Romano bean, runner bean",Phaseolus vulgaris,['green bean']
95,Jackson wonder bean,This is a good choice for soups.,,,[]
96,kidney bean,"This is a family of sweet kidney-shaped beans that comes in different sizes and colors. Varieties include cannellini beans, flageolets, and red kidney beans.",,"Phaseolus vulgaris, kidney",['navy bean']
97,kluwak nuts,,"keluak, kepayang, kluwak kupas, pangi, payang",Pangium edule,[]
98,kola nut,"These bitter nuts are loaded with caffeine, and Africans like to chew on them throughout the day. One downside is that they turn your teeth orange.",,Cola acuminata,[]
99,lablab bean,"These beans can be brown, reddish-brown, or cream colored, and they're easily identified by a white seed scar which runs along one edge.  They have a pleasant nutty flavor, but they need to soaked and peeled before cooking.  Skinned and split lablab beans, called val dal in Hindu, are more convenient to use.  Both whole and split beans are available in Indian markets.","bonavist bean, Egyptian bean, Fuji mame, hyacinth bean, Indian bean, val",,"['black-eyed pea', 'green pea']"
100,legumes,"Legumes are plants that have pods with tidy rows of seeds inside. This category includes beans, peas, lentils, and peanuts.",,,[]
101,Lentils,"Like other legumes, lentils are low in fat and high in protein and fiber, but they have the added advantage of cooking quickly.  Lentils have a mild, often earthy flavor, and they're best if cooked with assertive flavorings.  The best, most delicate lentils are the peppery French green lentils. These hold their shape well, but take longer to cook than other lentils. The milder brown lentils also hold their shape after cooking, but can easily turn mushy if overcooked.  Indian markets also carry a wide variety of split lentils, called dal.   Before cooking, always rinse lentils and pick out stones and other debris.  Unlike dried beans and peas, there's no need to soak them.  Lentils cook more slowly if they're combined with salt or acidic ingredients, so add these last.  Bigger or older lentils take longer to cook.  Store dried lentils for up to a year in a cool, dry place.",,Lens culinaris,"['dal', 'green pea', 'black-eyed pea']"
102,lima bean,"With their buttery flavor, lima beans are great in soups or stews, or on their own as a side dish.  The most popular varieties are the small baby lima bean = sieva bean and the larger Fordhooks.  You can get limas fresh in their pods in the summer, but many people prefer to use dried lima beans.  Shelled frozen limas are a good substitute for fresh, but canned limas aren't nearly as good.  The biggest downside is that lima beans are harder to digest than other beans.","baby lima bean, butter bean, Fordhooks, Madagascar bean, sieva bean, wax bean",Phaseolus lunatus,"['fresh lima bean', 'dried fava bean ', 'soybean']"
103,lingot bean,The French use these for their cassoulets.,,,['navy bean']
104,lupini bean,"These large Italian beans resemble fava beans, only they're slightly bitter.  They're often marinated and served in salads.",,Lupinus,"['dried fava bean ', 'lima bean']"
105,macadamia nut,"These rich and creamy nuts hail from Hawaii and Australia, where they're eaten as snacks, or incorporated into cookies or other desserts. They're hard to crack open and tricky to roast, so they're almost always sold shelled and roasted in vacuum-pack containers. After you open these containers, you should store any uneaten nuts in the freezer or refrigerator, since they're high in fat and therefore prone to rancidity. If you want to roast your own macadamia nuts, put them in 275° oven for about 15 minutes.","Australian nut, bauple nut, bush nut, Hawaii nut, maroochi nut, Queensland nut",Macadamia,"['Brazil nut', 'pecan', 'walnut', 'almond', 'cashew']"
106,maicoba bean,,"azufrado bean, canaria bean, canario bean, mayocoba bean, Peruano bean, Peruvian bean",,['pinto bean']
107,mape,,"aila, gayam fruit, Otaheite chestnut, Polynesian chestnut, Tahitian chestnut",Inocarpus fagifer,['chestnut']
108,marrow bean,These large white beans are said to taste like bacon. They're great pureed in soups.,,,['navy bean']
109,marzipan,"Marzipan is made from ground almonds and sugar, and it's used to make colorful and edible decorations and confections.  Look for tubes or cans of it among the baking supplies in your supermarket.","almond modeling paste, marchpane",,['light corn syrup']
110,masoor,"When whole, this bean is greenish-brown, but recipes often call for the skinned and split masoor, which is called masoor dal.","masar, mussoor",,['brown lentil']
111,masoor dal,"These are skinned and split masoor lentils.  They're salmon-colored, cook quickly, and turn golden and mushy when cooked.","masar dal, masur dal, mussoor dal, pink lentil",,"['red lentil', 'toor dal', 'French green lentils']"
112,miso,"This is a thick paste made from soybeans and grains that has been fermented and then aged for up to three years.   It's a staple in Japan, where it's used to flavor soups, dipping sauces, meats, and dressings.  There are hundreds of varieties of miso, and the Japanese match them to dishes with the same care that Americans match wines to meals.  The darker kinds are saltier and more pungent, the lighter are sweeter and milder.  Always add miso to soups and stews at the end, since boiling it destroys beneficial bacteria and causes it to curdle.  Look for tubs of miso in the refrigerated section of Japanese food markets, health foods stores, or large supermarkets.  It will keep in your  refrigerator for many months.  Powdered miso is also available, as are powdered soup mixes made with miso and dashi.","bean paste, soybean paste",Glycine max,"['soy sauce', 'umeboshi puree']"
113,moath,These small brown beans are often sprouted.,"math seed, matki, moth bean",,['mung bean']
