,Name,Description,Also known as,Scientific name,Substitutions
24,butterfish,"The name ""butterfish"" is sometimes also given to sablefish and to the delicious escolar, which you should read about before buying, since it's also called ex-lax fish.","American butterfish, Atlantic butterfish, sablefish",Peprilus triacanthus,"['harvestfish', 'bluefish', 'buffalofish', 'whitefish']"
25,Calico scallops,,,Pectinidae,"['bay scallops', 'sea scallop', 'shark', 'cod cheeks', 'skate']"
26,canal shrimp,"These are popular in Japan, where they're often served as tempura.","kuruma ebi, shrimp, canal",,"['shrimp', 'shrimp meat']"
27,cape capensis,,"African hake, Cape hake, Cape whiting, shallow-water Cape hake, South African hake",Merluccius capensis,"['cod', 'pollock']"
28,capelin roe,"Japanese cooks use these tiny, fluorescent eggs as a topping for sushi.",masago,Mallotus villosus,"['flying fish roe', 'golden caviar']"
29,carp,,While carp,Cyprinidae,"['buffalofish', 'bluefish', 'perch', 'Chilean sea bass']"
30,catfish,,,Siluriformes,"['mahi-mahi', 'grouper', 'pike', 'whitefish']"
31,caviar,"Over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using roe from more abundant species until the Caspian Sea sturgeon populations can recover.Caviar is known for its subtle, buttery flavor, sensuous texture, and high price. It should always be served cold.Just as diamonds are rated according to the four Cs, caviar can be evaluated by the three Fs--flavor, firmness, and freshness. The flavor of caviar depends on the sturgeon's species and habitat, and is variously described as buttery, nutty, sweet, fruity, earthy, briny, and even herbaceous. The firmness of each egg determines how the eggs burst when you squeeze them against the roof of your mouth with your tongue. Fresh caviar is considered much better than the pasteurized version.Varieties: (from highest to lowest price) imperial caviar, beluga caviar, ossetra caviar, and sevruga caviar. Imperial caviar is the rarest and most expensive. Beluga caviar is soft, and almost melts in your mouth. Ossetra and sevruga caviars are relatively firm, and will pop when gently squeezed. Within these categories, malossol, or lightly salted caviar, is of higher quality than pressed caviar = payusnaya.If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.Equivalents: 2 tablespoons = 1 ounceFresh caviar lasts just over a year if properly stored, though its shelf-life can be extended with heavy salting. Experts claim that some of the fresh caviar that's being sold at bargain prices over the Internet is well past its prime. The color and size of the eggs--called the bead--can help you (and your guests) identify the different varieties of caviar.","Malossol caviar, payusnaya caviar, pressed caviar, sturgeon roe",,"['hackleback roe', 'paddlefish roe', 'salmon roe', 'lumpfish roe', 'bowfin roe']"
32,cherrystone clam,,"chowder clams, hard clam, quahog",Mercenaria mercenaria,"['Manila clam', 'littleneck clams']"
33,Chilean sea bass,,Patagonian toothfish,Dissostichus eleginoides,['sablefish']
34,chinook salmon,,"king salmon, spring salmon",Oncorhynchus tshawytscha,['coho salmon']
35,chum salmon,,"dog salmon, keta salmon, silverbrite salmon",Oncorhynchus keta,"['coho salmon', 'chinook salmon']"
36,clam,"See also pismo clam, soft-shell clam, razor clam, Manila clam, hard-shell clam, bar clam, and geoduck clam. Storage: Unopened canned clams can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",,,"['mussels', 'cockle', 'abalone', 'scallop']"
37,cobia,,"black bonito, black kingfish, black salmon, coalfish, crabeater, lemonfish, ling, sergeant fish",Rachycentron canadum,"['monkfish', 'shark']"
38,cockle,,,Cardiidae,['clam']
39,cod,"This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.","cod cheeks, cod sounds, cod tongues, codling, markets, schrod, scrod, streakers",Gadidae,"['pollock', 'cape capensis', 'halibut', 'sole', 'flounder', 'orange roughy', 'haddock', 'whiting', 'hake', 'ocean perch', 'tilapia', 'catfish', 'tilefish']"
40,cod cheeks,"cod cheeks, which are good and inexpensive",,Gadidae,['cod']
41,cod roe,"Scandinavian markets sell this in tubes, so that it can be extruded onto crackers and such for hors d'oeuvres. It's relatively inexpensive, but very salty.",,Gadidae,[]
42,coho salmon,,"medium red salmon, silver salmon, silvers",Oncorhynchus kisutch,['chinook salmon']
43,conch,"This is popular in Florida and the Caribbean.  In other regions, your best bet is to look in Asian or Italian markets.","lambi, lambie, mock abalone",Strombidae,"['whelk', 'clam', 'abalone']"
44,conger eel,,"anago, conger, eel, conger","Congridae, Conger","['elvers', 'freshwater eels', 'spiny eel', 'lamprey', 'monkfish', 'mullet']"
45,crab,"Eat fresh crab the day you buy it.  Unopened canned crab can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",,Brachyura,"['crayfish', 'lobster', 'scallop', 'shrimp', 'surimi', 'sheepshead']"
46,crab cake,,,Brachyura,[]
47,crayfish,"Crayfish are very popular in Louisiana, where restaurants serve them on large platters along with bowls of melted butter. Buy live ones if you can; if not, large supermarkets sometimes stock frozen whole crayfish or crayfish tails. Get the whole crayfish if possible--most of the flavor resides in the shells. Allow one to two pounds per person.","crawdad, crawdaddies, crawfish, craydids, ecrevisse, écrevisse, freshwater lobsters, mudbugs, yabbies",Astacoidea,"['rock shrimp', 'Dublin Bay prawn', 'shrimp', 'spiny lobster', 'lobster', 'pike', 'sheepshead', 'crab']"
48,cusk,,"Brosmius, European Cusk, Torsk, Tusk",Brosme brosme,['cod']
49,cuttlefish,This is a close relative of squid and octopus. You can sometimes find dried cuttlefish in Asian markets.,sepia,Sepiida,"['squid', 'Baby octopus', 'octopus']"
50,dogfish,This commercially fished shark is enjoyed around the world.,"Cape shark, huss, mud shark, piked dogfish, rock salmon, sea eel, spiny dogfish, spurdog",Squalus acanthias,['shark']
51,dried crayfish,,,Astacidea,['dried shrimp']
52,dried shrimp,,,,"['dried crayfish', 'shrimp']"
53,drums,"This category includes yellowfish = yellow croaker (pictured), corvina = spotfin croaker, drum, redfish = red drum, white sea bass, kingfish, weakfish, and spot.   Substitutes:  hake (tastier) OR mullet OR tuna OR red snapper OR pompano.",croakers,,['tilefish']
54,Dublin Bay prawn,,"Dublin prawn, langoustine, Norway lobster, scampi",,"['spiny lobster', 'lobster', 'crayfish', 'shrimp']"
55,Dungeness crab,"Found on the Pacific coast, the Dungeness is a large crab highly prized for its sweet meat.",,Metacarcinus magister,['king crab']
56,eel,"These haven't caught on much in the U.S., but they're highly prized in Europe and Japan for their rich, firm meat and terrific flavor. Freshness is crucial, so always buy live eels. Smaller eels are more tender. This category includes conger eel = conger = anago, which are tough saltwater eels that are sometimes available in fish markets in the spring and summer, elvers = angulas = baby eels, which are about an inch long and very expensive, and freshwater eel = unagi.","anago, angulas, baby eels, conger, conger eel, elvers, freshwater eel, unagi","Anguilliformes, Anguilla","['lamprey', 'monkfish', 'mullet', 'conger eel', 'elvers', 'freshwater eels']"
57,elvers,"Elvers are juvenile eels. They are thin and about 2"" long. Elvers are a delicacy especially in Spain and Asia. They are caught as they return to freshwater streams after being born in the mid-Atlantic.","angulas, baby eels, glass eels","Anguilliformes, Anguilla","['conger eel', 'mullet', 'freshwater eels', 'monkfish', 'lamprey']"
58,escolar,"This excellent Hawaiian fish tastes like a buttery halibut. Unfortunately, it contains a natural laxative and eating it can cause serious gastrointestinal distress. Because of this, several governments (though not the US) have either banned its importation or required that it be sold with warning labels.A workaround is to eat only small (four ounces or less) portions of the fish, or to bring a change of clothes if you're dining out.","butterfish, ex-lax fish, king tuna, oilfish, Shiro Maguro, snake mackerel, super white tuna, waloo, walu, walu walu",Lepidocybium flavobrunneum,"['salmon', 'halibut']"
59,farmed salmon,These are salmon that are raised in pens in the ocean. The wild populations are known as Atlantic salmon.,"Atlantic salmon, Scotch salmon",Salmo salar,"['coho salmon', 'chinook salmon', 'chum salmon']"
60,Finnan Haddie,,smoked haddock,Melanogrammus aeglefinus,"['sturgeon', 'smoked salmon']"
61,fish balls,,,,['kamaboko']
62,fish paste,,,,"['anchovy paste', 'fish sauce']"
63,flounder,,,Pleuronectoidei,"['sole', 'orange roughy', 'cod', 'haddock']"
64,flying fish roe,These fluorescent orange eggs are wonderfully crunchy and flavorful. The Japanese are particularly fond of them.,"tobikko, tobiko, tobiuonoko",,"['capelin roe', 'golden caviar', 'salmon roe', 'trout caviar']"
65,freshwater eels,,"eel, freshwater, unagi","Anguilliformes, Anguilla","['conger eel', 'elvers', 'freshwater eels', 'lamprey', 'monkfish', 'mullet']"
66,geoduck clam,,,Panopea generosa,"['clam', 'abalone']"
67,golden caviar,"This has crunchy, amber-colored eggs and makes a colorful garnish. They're often flavored with various seasonings before they're sold.","American golden caviar, whitefish caviar, whitefish roe",,"['capelin roe', 'flying fish roe', 'lumpfish roe', 'salmon roe', 'trout caviar']"
68,gravlax,,,Salmonidae,['smoked salmon']
69,green mussel,,"green shell mussel, greenlipped mussel, greenshell mussel, kuku, kutai, mussel, green, New Zealand green mussel",Perna canaliculus,"['mussels', 'Prince Edward Island mussel', 'oyster', 'soft-shell clam', 'littleneck clams']"
70,grouper,"This category includes California sea bass, jewfish, and cabrilla.","cabrilla, California sea bass, jewfish",Epinephelinae,"['striped bass', 'mahi-mahi', 'black sea bass', 'red snapper', 'pompano', 'cobia', 'catfish']"
71,hackleback roe,This American caviar comes from farm-raised hacklebacks.,black pearl caviar,,"['sevruga caviar', 'beluga caviar', 'paddlefish roe', 'bowfin roe']"
72,haddock,,,"Gadidae,  aeglefinus, Melanogrammus","['cod', 'hake', 'flounder', 'sole']"
73,haddock roe,,,Melanogrammus aeglefinus,['shad roe']
74,hake,,"silver hake, whiting",Merlucciidae,"['haddock', 'cod', 'sole', 'halibut', 'tilefish']"
75,halibut,,,Hippoglossus,"['turbot', 'Sea bass', 'tilefish']"
76,hard-shell clam,Littleneck clams are smaller than cherrystone clams which are smaller than quahog clams = quahaug clams = chowder clams which are smaller than ocean quahog clams = ocean quahaug clams = mahogany clams = black clams.,"cherrystones, chowder clams, countnecks, hard clam, hardshell clams, littlenecks, peanuts, quahog, round clam, topnecks",Mercenaria mercenaria,"['bar clam', 'soft-shell clam']"
77,harvestfish,,"American harvestfish, star butter fish",Peprilus paru,"['butterfish', 'bluefish', 'herring']"
78,herring,,,Clupeidae,"['shad', 'smelt', 'mackerel', 'trout']"
79,herring roe,"The Japanese traditionally serve this on New Year's Day. It has an interesting texture, but it's not very flavorful.",,Clupeidae,['shad roe']
80,imperial caviar,"In recent years, over-fishing in the Caspian Sea has greatly depleted sturgeon populations.Please consider using caviar and roe from more abundant species until the Caspian Sea sturgeon populations can recover.For substitutions for caviar in general, click here.","golden oscietre, golden ossetra, royal caviar, shah's caviar",,"['ossetra caviar', 'paddlefish roe', 'hackleback roe', 'bowfin roe', 'lumpfish roe']"
81,John Dory,,"Dory, European John Dory, Peter's Fish, St Pierre",Zeus faber,"['sole', 'turbot', 'halibut']"
82,Jonah crab,These are found in the coastal waters of New England.,,Cancer borealis,"['Dungeness crab', 'stone crab']"
83,kamaboko,This colorful Japanese specialty is made of a fish paste that's been molded into logs or half-logs.,fish paste cake,,['surimi']
84,keluga caviar,,keluga caviar,,['beluga caviar']
85,king crab,"These have long, spindly legs and are found off the coast of Alaska and Japan.","Alaskan king crab, Japanese king crab, red king crab, Russian crab",Paralithodes camtschaticus,"['snow crab', 'surimi']"
86,kippered black cod,,"Alaska smoked cod, smoked sable, smoked sablefish",Gadidae,"['smoked salmon', 'cod']"
87,kippered herring,,,Clupeidae,"['smoked whitefish', 'kippered black cod', 'sardines']"
88,lamprey,,,Petromyzontiformes,['eel']
89,lingcod,,"buffalo cod, cultus cod, ling cod",Ophiodon elongatus,['cod']
90,littleneck clams,,"hard clam, hard-shell clam, topnecks",Mercenaria mercenaria,"['Manila clam', 'cherrystone clam']"
91,lobster,,,Nephropidae,"['spiny lobster', 'Dublin Bay prawn', 'shrimp', 'crab', 'monkfish', 'sheepshead', 'pike']"
92,lobster coral,This roe turns a lovely coral color when cooked.,lobster roe,Nephropidae,"['sea urchin roe', 'caviar']"
93,lox,Look for this in the deli section of your grocery stores.,,Salmonidae,"['nova', 'smoked salmon']"
94,lumpfish roe,Lumpfish roe is relatively cheap; the eggs come in red or black.,,,"['caviar', 'golden caviar', 'salmon roe', 'smelt roe']"
95,mackerel,"Unopened canned mackerel can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",,Scombridae,"['Spanish mackerel', 'shad', 'bluefish', 'herring', 'trout']"
96,mahi-mahi,"Though leaner than, say salmon or tuna, mahi-mahi packs a lot of heart-healthy omega-3 fatty acids.","dolphin fish, dolphinfish, dorado, mahimahi",Coryphaena hippurus,"['monkfish', 'shark', 'swordfish', 'tuna', 'catfish', 'tilefish']"
97,Manila clam,,"Japanese carpet shell, Japanese cockle, Japanese littleneck clam",Venerupis philippinarum,['soft-shell clam']
98,marlin,,"kajiki, Pacific blue marlin",Istiophoridae,['swordfish']
99,monkfish,"This fish isn't a looker, but it has a flavor and texture that's been compared to lobster and scallops.","anglerfish, bellyfish, frogfish, goosefish, sea-devil",Lophius,"['blackfish', 'lobster', 'mahi-mahi', 'shark', 'red snapper']"
100,monkfish liver,"This exquisite Japanese delicacy has the texture and richness of a choice pâté de foie gras. It's usually poached, steamed, or sautéed before serving in order. Look for it in well-stocked Japanese markets.","ankimo, foie de lotte, monkfish foie gras",Lophius,['pâté']
101,mullet,"This category includes red mullet, white mullet, and the fattier black mullet = striped mullet.","black mullet, grey mullet, red mullet, striped mullet, white mullet",Mugilidae,"['orange roughy', 'Sea bass', 'ocean perch']"
102,mussels,"Storage: Unopened canned mussels can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",,Mytilidae,"['oyster', 'soft-shell clam', 'littleneck clams', 'bluefish']"
103,nova,Nova is made by curing salmon through both curing with salt and smoking. It is similar to lox.,Nova Scotia salmon,Salmonidae,"['lox', 'smoked salmon']"
104,ocean perch,,,Sebastidae,"['rockfish', 'porgies', 'red snapper', 'mullet']"
105,octopus,,,Octopoda,"['squid', 'cuttlefish']"
106,orange roughy,,"deep sea perch, red roughy, slimehead",Hoplostethus atlanticus,"['flounder', 'sole', 'red snapper', 'ocean perch', 'grouper']"
107,ormer,This is a variety of abalone found in the Mediterain and North Atlantic.,green ormer,Haliotis tuberculata,"['clam', 'abalone']"
108,ossetra caviar,"In recent years, over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using caviar and roe from more abundant species until the Caspian Sea sturgeon populations can recover.Ossetra caviar is brown and more strongly flavored than beluga caviar. Don't confuse ordinary ossetra with the rare and expensive golden ossetra = imperial caviar. If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.For substitutions for caviar in general, click here.","asetra caviar, ocietra caviar, oscietre caviar",,"['sevruga caviar', 'beluga caviar', 'paddlefish roe', 'hackleback roe', 'bowfin roe', 'lumpfish roe']"
109,oyster,"The French like to serve these raw in the shell, with just a squirt of fresh lemon juice, but they can also be fried, grilled, or gently poached. If you eat them raw, you'll need to shuck them first; an oyster knife comes in handy for this. Storage: Unopened canned oysters can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",,Ostreoidea,"['mussels', 'soft-shell clam', 'littleneck clams', 'cherrystone clam']"
110,paddlefish roe,"Paddlefish swim in Southern rivers and they're relatives of sturgeons--the fish that produce the world's most expensive and exquisite caviars. Paddlefish roe is very similar to sevruga caviar, only it's cheaper. Since Caspian Sea sturgeon are rapidly becoming depleted from over-fishing, many people are turning to paddlefish roe as a substitute for caviar.",grey pearl caviar,Polyodontidae,"['sevruga caviar', 'beluga caviar', 'hackleback roe', 'bowfin roe']"
111,parrotfish,"This tropical fish is delicious, but environmentalists worry that overfishing will harm coral reefs, since parrotfish clean them of algae. In addition, parrotfish also convert dead coral into white sand (up to 220 pounds of sand per fish per year) that we all love to walk and play volleyball on.As with all reef fish, parrotfish also contain a toxin called ciguatera, which can cause food poisoning. You can reduce the risk by not eating the fish's head or organs.",,Scaridae,['mullet']
112,peekytoe crabs,"These small, highly prized crabs resemble Dungeness crabs, only they're much smaller. It's hard to find whole crabs, but many seafood shops in New England sell peekytoe crab meat.","Atlantic rock crab, Maine crabs, mud crabs, rock crabs, sand crabs",Cancer irroratus,"['Dungeness crab', 'stone crab', 'surimi']"
113,perch,"This category includes walleye = wall-eyed pike, and Nile perch = Lake Victoria perch.","Lake Victoria perch, Nile perch, wall-eyed pike, walleye",Perca,"['red snapper', 'porgies', 'rockfish', 'pike']"
114,periwinkle,"These marine snails are better known in Europe and Japan than in the United States. They're great in any clam chowder recipe, though they tend to get tough if overcooked. Look for them in Asian markets.","bigaros, sea snails, winkles",Littorinidae,"['whelk', 'conch', 'clam', 'escargot']"
115,pike,,northern pike,Esox lucius,['pike']
116,pilchards,"Pilchards belong to the same species as sardines, but they're caught in colder waters and are bigger.",,"Clupeidae, pilchardus, Sardina",['sardines']
117,pink salmon,,humpback salmon,Oncorhynchus gorbuscha,"['chum salmon', 'chinook salmon']"
118,pirarucu,Pirarucu are large (7 feet) fish native to the Amazon basin. Pirarucu meat is mild flavored and firm textured. Overfishing has reduced their numbers. It is unusual in that in needs to breath air.,arapaima,Arapaima gigas,['cod']
119,pismo clam,pismos are highly regarded.,Venus clam,Tivela stultorum,['clam']
120,plaice,,"Alaskan plaice, American plaice, European plaice, scale-eye plaice",Pleuronectidae,"['sole', 'flounder', 'sand dabs']"
121,pollock,Pollock is an important north Pacific groundfish.,"Alaska pollock, Boston bluefish, Pacific Pollock, walleye pollock",Gadus chalcogrammus,['cod']
122,pollock roe,Asian markets sell this inexpensive roe in wooden boxes. It's often baked and served on rice.,,Gadus chalcogrammus,[]
123,pomfret,You can buy frozen pomfret in Asian markets.,,Bramidae,['Chilean sea bass']
124,pompano,,black pomfret,Trachinotus,['grouper']
125,porgies,"This category includes the scup = fair maid, sea bream, red porgy, sheepshead porgy, shad porgy, whitebone porgy, and jolthead porgy.  Porgies tend to be bony, but they're highly prized for their delicate flavor.","fair maid, jolthead porgy, red porgy, scup, sea bream, shad porgy, sheepshead porgy, whitebone porgy",Sparidae,"['ocean perch', 'rockfish', 'red snapper']"
126,Prince Edward Island mussel,These farmed-raised mussels are sweet and beardless.,"blue mussel, Island blue mussel, mussels, Prince Edward Island, PEI mussel",Mytilus edulis,"['mussels', 'green mussel', 'oyster', 'soft-shell clam', 'littleneck clams']"
127,quahog,,"chowder clam, hard clam, hard-shell clam, quahaug clam, quahog clam",Mercenaria mercenaria,['hard-shell clam']
128,rainbow runner,,"Hawaiian salmon, kamanu, rainbow yellowtail, Spanish jack",Elagatis bipinnulata,['salmon']
129,razor clam,,"American jackknife clam, Arctic razor clam, Atlantic jackknife clam, Atlantic razor clam, bamboo clam, Gould's razor shell, Pacific razor clam, razor fish, rosy razor clam, spoot",Pharidae,"['geoduck clam', 'quahog']"
130,red snapper,,onaga,Lutjanidae,"['Sea bass', 'rockfish', 'grouper', 'halibut', 'pompano', 'cobia', 'sole', 'flounder', 'cod', 'orange roughy', 'catfish']"
131,rock shrimp,,"shrimp, rock",,"['shrimp', 'shrimp meat', 'canal shrimp']"
132,rockfish,,,,"['red snapper', 'Sea bass', 'halibut', 'perch', 'ocean perch', 'porgies', 'cod']"
133,sablefish,,"beshow, black cod, blue cod, butterfish (incorrectly), candlefish, coal cod, skil, snowfish",Anoplopoma fimbria,"['butterfish', 'whitefish', 'buffalofish']"
134,salmon,"Species include; coho salmon, chinook salmon, red sockeye, pink salmon, and chum salmon.
Unopened canned salmon can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",,Salmonidae,"['swordfish', 'mahi-mahi', 'albacore', 'bonita', 'marlin', 'striped bass', 'trout', 'arctic char']"
135,salmon roe,These eggs just explode in your mouth. They make wonderful hors d'oeuvres.,"ikura, red caviar, salmon caviar",Salmonidae,"['smoked salmon roe', 'trout caviar', 'golden caviar', 'flying fish roe', 'caviar', 'lumpfish roe']"
136,salt cod,Salt cod was traditionally caught and salted by Portuguese fisherman in the North Atlantic. It is popular in Europe and around the Mediterranean. It needs to be soaked in fresh water for one or two days to remove the salt before cooking.,"bacalao, bacalhau, dried salted codfish, kippfisk (Norway), salt dolly, saltfish",Gadidae,['cod']
137,salted herring roe,This is very salty and very expensive.,kazunoko,Clupeidae,"['shad roe', 'bottarga']"
138,sand dabs,,"Pacific sanddab, sanddab",Citharichthys sordidus,"['sole', 'flounder']"
139,sardines,"Unopened canned sardines can be stored for up to a year in a dry, cool place. Once opened, they will keep for up to two days if you wrap them well and refrigerate them.",,Clupeidae,"['anchovies', 'smelt', 'herring', 'mackerel']"
140,scallop,,,Pectinidae,"['shark', 'cod cheeks', 'monkfish', 'skate', 'lobster', 'crab', 'sole', 'flounder', 'shrimp', 'bay scallops', 'Calico scallops', 'sea scallop']"
141,scallop roe,"This coral-colored roe is expensive and hard to find, but it has a wonderful, delicate flavor. The roe is usually both sold and served with the scallop that produced it.",,Pectinidae,[]
142,Sea bass,,black sea bass,,"['red snapper', 'mahi-mahi', 'tilapia']"
143,sea scallop,,,Pectinidae,"['bay scallops', 'Calico scallops', 'shark', 'cod cheeks', 'skate', 'monkfish']"
144,sea slug,comes dried or fresh,"beche-de-mer, sea cucumber",Nudibranchia,[]
145,sea urchin roe,"Red roe is more expensive than yellow, but the taste is similar.","sea eggs, sea urchin corals, uni",Strongylocentrotus franciscanus ,"['flying fish roe', 'salmon roe', 'lobster coral']"
146,sevruga caviar,"In recent years, over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using caviar and roe from more abundant species until the Caspian Sea sturgeon populations can recover.Greenish-gray sevruga has the smallest eggs and strongest flavor of all the caviars. Because of this, it's cheaper than beluga or ossetra, but still quite good. If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.For substitutions for caviar in general, click here.",,,"['paddlefish roe', 'hackleback roe', 'ossetra caviar', 'beluga caviar', 'bowfin roe', 'lumpfish roe']"
147,shad,,,Alosa sapidissima,"['herring', 'mackerel']"
148,shad roe,"You can buy lobes of this roe fresh in the springtime, or in cans during the rest of the year. Canned shad roe is good, but not quite as good as fresh.",,Alosa sapidissima,"['herring roe', 'haddock roe']"
149,shark,,,Elasmobranchii Euselachii Selachimorpha,"['swordfish', 'mahi-mahi', 'tuna', 'sturgeon', 'marlin', 'halibut', 'cod']"
150,sheepshead,,,Archosargus probatocephalus,"['pompano', 'crab']"
151,shellfish,,,,[]
