,Name,Description,Also known as,Scientific name,Substitutions
17,extra-firm tofu,"This isn't as moist as firm tofu, so it holds its shape better and absorb more flavors.   Store tofu in the refrigerator, changing the water daily, and use it within a week.  Freezing it will make it chewier and give it a meatier texture.    Look for cakes of it in plastic tubs in the refrigerated sections of supermarkets and health food stores.",,Glycine max,"['firm tofu', 'pressed tofu', 'atsu-age']"
18,fermented bean curd,"This looks innocent enough, like cubes of tofu immersed in a broth, but it has a very pungent aroma and strong, cheesy flavor.  It comes in two colors.  The white version is often served with rice or used to flavor soups and vegetable dishes, while the red often accompanies meats.  Look for it in jars or crocks in Asian markets.   Store it in the refrigerator after you've opened it, keeping the cubes immersed in liquid or oil to prevent them from drying out and discoloring.","bean cheese, fermented bean cake, foo yi, foo yu, fu yu, preserved bean curd, wet bean curd",Trigonella foenum-graecum,['red bean curd']
19,firm tofu,"Choose this style of tofu if you want to cut it into cubes for stir-frying or crumble it into salads.  Rinse and drain the tofu before you use it.  Tofu will absorb more flavors and hold its shape better if you press out some of the water before marinating or cooking it.  To do so, place the tofu on several layers of paper towels or cheesecloth, cover it with plastic wrap, and put something heavy on it.  Do this for at least an hour, or put the whole assembly in a pan and set it in the refrigerator overnight.  Store tofu in the refrigerator, changing the water daily, and use it within a week.  Freezing firm tofu will make it chewier and give it a meatier texture.    Look for cakes of it in plastic tubs in the refrigerated sections of supermarkets and health food stores.",,Glycine max,"['extra-firm tofu', 'regular tofu', 'pressed tofu', 'atsu-age', 'paneer cheese', 'chicken', 'feta']"
20,hatcho miso,"This is a very strong, salty version of miso that's made with soybeans and aged for up to three years.  It's reddish-brown, somewhat chunky, and  often used to flavor hearty soups.","dark miso, hat-cho miso, mame miso, mamemiso",Glycine max,['red miso']
21,horchata,"This is a Spanish beverage made with rice, almonds, or chufa. Horchatas sold in markets are often flavored with chocolate, cinnamon, or fruit.Varieties: Hispanic stores often carry almond horchata = horchata de almendra, chufa horchata = horchata de chufa, the traditional Spanish version, and rice horchata = horchata de arroz.","almond horchata, chufa horchata, horchata de almendra, horchata de arroz, horchata de chufa, rice horchata",,['vanilla extract']
22,light coconut milk,,lite coconut milk,,"['water', 'coconut milk']"
23,miso,"This is a thick paste made from soybeans and grains that has been fermented and then aged for up to three years.   It's a staple in Japan, where it's used to flavor soups, dipping sauces, meats, and dressings.  There are hundreds of varieties of miso, and the Japanese match them to dishes with the same care that Americans match wines to meals.  The darker kinds are saltier and more pungent, the lighter are sweeter and milder.  Always add miso to soups and stews at the end, since boiling it destroys beneficial bacteria and causes it to curdle.  Look for tubs of miso in the refrigerated section of Japanese food markets, health foods stores, or large supermarkets.  It will keep in your  refrigerator for many months.  Powdered miso is also available, as are powdered soup mixes made with miso and dashi.","bean paste, soybean paste",Glycine max,"['soy sauce', 'umeboshi puree']"
24,natto,"Made with fermented soybeans, natto is pungent, sticky, and highly nutritious.  The Japanese like to serve it on rice or put it in sushi or miso soups.  It's available in Japanese markets or health food stores either frozen, freeze-dried, or fresh in straw bundles.","fermented soy cheese, nato, nattou",Glycine max,[]
25,non-dairy topping,Cool Whip and Dream Whip are popular brands. Some of these products may include casein.,"Cool Whip, Dream Whip, nondairy topping",,['whipped cream']
26,oat milk,This comes in aseptic containers. A fortified version is available that supplies many of the nutrients normally found in cow's milk. Shake well before using.,,Avena sativa,"['milk 3.5%', ""goat's milk"", 'soy milk', 'rice milk', 'almond milk']"
27,okara,"This is the ivory pulp that's left over after the soy milk is squeezed from soybeans.  It's moist and crumbly, full of protein and fiber, and about as flavorful as a wad of paper towels.   Look for it in the produce section of Japanese markets.","kirazu, unohana",Glycine max,['tofu']
28,pressed tofu,"With much of the moisture pressed out of it, this kind of tofu holds it shape and absorbs marinades better than firm tofu.  It's the best choice for grilling.","dow fu kon, nigari tofu",Glycine max,"['extra-firm tofu', 'atsu-age']"
29,red miso,"This versatile, medium-strength miso is the most popular variety in Japan.  It's made from barley or rice, and it's used for hearty soups and stews, or to make rubs and marinades for meat and poultry.","aka miso, akamiso, inaka miso, sendai miso",,"['yellow miso', 'hatcho miso', 'vegetable bouillon cubes', 'beef bouillon cubes']"
30,regular tofu,"This is halfway between the custard-like consistency of silken tofu and the denser texture of firm tofu. It's a good choice if you want to scramble it like eggs, or use it in place of ricotta cheese in a casserole. Store tofu in the refrigerator, changing the water daily, and use it within a week. Freezing firm tofu will make it chewier and give it a meatier texture. Look for cakes of it in plastic tubs in the refrigerated sections of supermarkets and health food stores.",medium tofu,Glycine max,"['firm tofu', 'soft tofu']"
31,rice milk,Look for this in aseptic containers. Some varieties are gluten-free; others are not. A common brand is Rice Dream. Shake well before using!,,Oryza,"['almond milk', 'horchata', 'milk 3.5%', ""goat's milk"", 'oat milk', 'soy milk']"
32,silken tofu,"This Japanese tofu is soft and creamy and it's the preferred tofu for shakes, dips, custards, puddings, and dressings.  It's available either fresh in tubs or in aseptic packages that don't need refrigeration.  When working with silken tofu, it's a good idea to make a dish ahead of time so as to allow the tofu to absorb other flavors.  Don't freeze it.",kinu-goshi,Glycine max,"['soft tofu', 'sour cream', 'mayonnaise', 'yogurt']"
33,soft tofu,"This is the Chinese version of Japan's silken tofu.  Like silken tofu, it's good for making shakes, dips, custards, puddings, and dressings.   Look for plastic tubs with cakes of tofu in the refrigerated sections of supermarkets and health food stores.   Don't freeze this kind of tofu.",sui-doufu,Glycine max,"['silken tofu', 'sour cream', 'mayonnaise', 'yogurt']"
34,soy cheese,"Made from soy milk, soy cheese is a boon to those who eschew dairy products.  There are many varieties, including those which mimic cheddar, Parmesan, mozzarella, jack, and Swiss.  Most brands have a mild, ho-hum flavor and a dry texture.   Except for the low-fat varieties, most of them melt fairly well.",tofu cheese,Glycine max,"['cheese', 'nutritional yeast']"
35,soy mayonnaise,"This is made from soy milk, and it's a very convincing substitute for those who wish to avoid egg-based mayonnaise. Nayonaise is a well-respected brand.","soya mayonnaise, tofu mayonnaise",Glycine max,"['mayonnaise', 'hummus', 'tofu sour cream']"
36,soy milk,"Made from soybeans, soy milk is sweeter and darker than dairy milk, and it has a distinctive beanlike flavor. It comes refrigerated, or in aseptic containers (either full strength or concentrated), or in powdered form, with varying percentages of fat. A fortified version is available that supplies many of the nutrients normally found in cow's milk.Flavored versions are best for drinking, unflavored for cooking. Shake well before using.","soy beverage, soya beverage, soya milk, soymilk",Glycine max,"['milk 3.5%', ""goat's milk"", 'oat milk', 'rice milk', 'almond milk']"
37,soy yogurt,"This is made from soy milk, and it's a good alternative for those who wish to avoid dairy products.",,Glycine max,"['yogurt', 'tofu sour cream']"
38,soybean paper,These colorful sheets can be used to wrap sushi.  Look for them in Asian markets.,nama nori san,Glycine max,['sushi nori']
39,soynut butter,"This peanut butter substitute is made from roasted soynuts.  It's got a bit less fat than peanut butter, and much less flavor.",soy nut butter,Glycine max,['peanut butter']
40,soynuts,"These are roasted soybeans that you eat like peanuts.  They're about the shape of corn kernels, and sometimes coated with flavorings.  Baked soynuts are lower in fat than fried.","roasted soybeans, soy nuts",Glycine max,"['soybean', 'soybean']"
41,tempeh,"This Indonesian meat substitute is made from soybeans and other grains that have been injected with a mold and allowed to ferment.   It's rich in protein and fiber and has a chewy texture and salty, nutty flavor.   Before using it, steam or simmer it for about twenty minutes.  Then use it just like tofu or  meat--either by marinating it and grilling or by crumbling it into pieces and frying them.   Look for tempeh among the frozen foods in supermarkets or in health food stores.  It will keep in the freezer for a few months, or in the refrigerator for about a week.",tempe,Glycine max,"['tofu', 'ground beef', 'seitan', 'textured soy protein']"
42,textured soy protein,"This is a healthy ground meat substitute made from defatted soy flour.  It comes as dried or frozen flakes, granules, or chunks, and it has a chewy, meaty texture when it's cooked.  The flavor's a bit bland, so it works best in well-seasoned dishes like chili and sloppy joes.  Some brands are beef or chicken-flavored.   Look for it in health food stores.","plant protein, protein crumbles, textured vegetable protein, texturized soy protein, texturized vegetable protein, TSP, TVP, vegetable protein",Glycine max,"['tempeh', 'firm tofu', 'seitan', 'ground beef']"
43,tofu,"Tofu is cheap, high in protein, low in fat, and very versatile.  You can eat it raw or cooked, but it's bland by itself and tastes best if it's allowed to absorb other flavors.  There are several varieties of raw tofu, each with different moisture contents.   Silken and soft tofu are relatively moist, and best suited for making shakes, dips, and dressings.  Regular tofu has some of the moisture drained away, and it's best for scrambling or using like cheese in casseroles.  Firm, extra-firm, and pressed tofus are even drier, so they absorb other flavors better and hold their shape in stir-fries and on the grill.  Tofu is also available smoked, pickled, flavored, baked, and deep-fat fried.","bean curd, doufu, soya cheese, soybean curd",Glycine max,"['tempeh', 'seitan', 'textured soy protein', 'chicken']"
44,tofu sour cream,"This made with tofu, and it's lower in fat and more nutritious than ordinary sour cream.   Look for it in health food stores.",soy sour cream,Glycine max,"['soy yogurt', 'soy mayonnaise']"
45,tofurky,A tofu and seitan substitute.,,Glycine max,['UnTurkey']
46,UnTurkey,A seitan-based turkey.,,Triticum aestivum,['tofurky']
47,white miso,"This pale yellow miso is the sweetest and mildest of them all.   It's used to make light soups, salad dressings, desserts, and marinades for fish.   It's aged only briefly and isn't as salty as other forms of miso.","kyoto shiro miso, mellow miso, shiro miso, shiromiso, sweet miso, sweet white miso",,"['yellow miso', 'vegetable bouillon cubes', 'red miso']"
48,yellow miso,This golden yellow miso is made of rice and aged briefly. It's salty but mild and quite versatile. It's a good choice if you only want to store one tub of miso in your refrigerator.,shinshu miso,Oryza,"['white miso', 'vegetable bouillon cubes']"
49,yuba,"This is the sweet, protein-rich skin that forms on warm soymilk as it cools.  Japanese and Chinese cooks like to add it to soups or use it as wrappers, and when it's deep-fat fried, it makes a fairly realistic ""skin"" for a mock holiday turkey.  You can buy very thin fresh sheets of it (called nama yuba) in Kyoto, Japan, and thicker round sheets that look like fruit leather in some Chinese markets.   Elsewhere, you'll have to get it dried or frozen.   Dried yuba comes as sheets, rolls, knots, and many other forms.  It needs to be reconstituted with water before you can use it, unless you're planning to add it to a soup.","bean curd sheets, bean curd skins, soy milk skins, uba",Glycine max,['bean stick']
