,Name,Description,Also known as,Scientific name,Substitutions
10,Anaheim chili,"These large, mild chiles are perfect for chiles rellenos. Mexican cooks also like to dice or purée them, and then add them to sauces, soups, and casseroles. They have a tough skin, but it peels off easily if you first char the chiles over a flame and then steam them in a paper bag for several minutes. Anaheims are available year-round, but they're best in the summer. You can occasionally find red Anaheims, which are riper and slightly hotter. When dried, this pepper is called a chile Colorado.","Anaheim chile, Anaheim chili pepper, Anaheim chilli, California green chili, california red chili (when mature and red), chile colorado (when mature and red), chile verde (CHEE-lay VER-day), long green pepper",,"['New Mexico green chili', 'poblano pepper ', 'green chile canned']"
11,ancho chili,"These mild, dried poblano peppers have a sweet, fruity flavor and are a staple in Mexican cuisine. They're brownish-black and wrinkled, and commonly used in adobos, moles, salsas, and various sauces.","ancho chile, ancho chino, chile color, chile colorado, dried poblano, pasilla chile (incorrectly), pasilla rojo",Capsicum annuum,"['mulato chili ', 'pasilla chili', 'poblano pepper ', 'California chili ', 'New Mexico red chili']"
12,angled loofa,"A native of Pakistan, this mild vegetable has a slightly bitter edge that pairs well with sweet and acidic ingredients in stir-fry dishes. You can also eat it raw, or dry it to make a loofa sponge.You can leave the peel on, but some people find the flavor off-putting. Remove any large seeds if you wish to cut the bitterness.","angled loofah, angled luffa, Chinese loofah, Chinese okra, dish cloth gourd, luffa angled gourd, luffa gourd, ribbed loofah, ridge gourd, ridged gourd, silk gourd, silky gourd, sinkwa towelsponge, sponge gourd, vegetable gourd",,"['zucchini', 'cucumber']"
13,apple green eggplant,"These eggplant resemble green apples, and are mild and sweet. You don't need to peel them.","applegreen eggplant, green apple eggplant",Solanum melongena,[]
14,arame,"This popular seaweed is very sweet and mild, and it's loaded with iron, calcium, and iodine.",sea oak,Eisenia bicyclis,"['hijiki', 'Wakame', 'konbu', 'dulse']"
15,Arauco olives,These are large green Spanish olives flavored with rosemary.,,Olea europaea,['Manzanilla olives']
16,Arbequina olives,"These are tiny green Spanish olives with a mild, smoky flavor. They're hard to find in the U.S.",,Olea europaea,['Manzanilla olives']
17,Armenian cucumber,,"snake cucumber, snake melon, This is hard to find, but one of the best-regarded slicing cucumbers.  It's crisp, thin-skinned, and mild-flavored, and it has soft seeds.  Like the English cucumber, it doesn't need to be peeled or seeded.  It's not good for pickling., uri",,['English cucumber']
18,arracacha,"These come from South America. According to the FAO, they taste like a cross between celery, cabbage, and chestnuts.",apio,,['potato']
19,arrowroot,"The name arrowroot is more commonly associated with a thickener that's made from the plant.  A fresh arrowroot tuber looks like a small onion, only without the layers.  It should be peeled, and then it can be boiled or stir-fried.  Look for it in Chinese markets during the winter.","arrow root, arrowhead, Chinese arrowhead, Chinese potato ((this name also is used for jicama)), ci gu, goo, seegoo, tse goo, tsu goo",Maranta arundinacea,"['water chestnut', 'jicama']"
20,artichoke,"Artichokes are the unopened flowers and stems of a kind of thistle. You cook them, then peel off and eat the bases of the thick green petals (called leaves). At the center is the heart, the choicest portion of the artichoke, covered by the choke, a hairy pad that should be peeled off and discarded. Their peak season is early summer.","French artichoke, globe artichoke, green artichoke","Cynara cardunculus, scolymus","['Jerusalem artichoke', 'salsify', 'burdock', 'hearts of palm', 'banana blossom']"
21,artichoke hearts,,,"Cynara cardunculus, scolymus","['avocado', 'burdock', 'cardoon', 'hearts of palm', 'Jerusalem artichoke']"
22,arugula,"With its peppery and slightly bitter flavor, arugula is a terrific green to throw into an otherwise boring salad.  It can be gently braised, too.  Some supermarkets sell it in small bunches, but you're more likely to find it combined with other greens in a spring salad mix.","arrugola (in Britain), eruca, garden rocket, Italian cress, Mediterranean rocket, rocket (salad), roquette, rucola, rugola, rugula, tira",Eruca vesicaria,"['watercress', 'Pepper', 'Belgian endive', 'escarole', 'dandelions', 'mustard greens', 'radicchio', 'radish greens', 'curly endive']"
23,Asian eggplants,"Include Japanese eggplants and Chinese eggplants, have thinner skins and a more delicate flavor than American eggplants, and not as many of the seeds that tend to make eggplants bitter. They're usually more slender than American eggplants, but they vary in size and shape. They range in color from lavender to pink, green, and white.","Chinese eggplants, Japanese eggplants, Oriental eggplants",Solanum melongena,"['Eggplants', 'Japanese eggplant', 'Chinese eggplant', 'zucchini']"
24,asparagus,"Asparagus has a wonderfully distinctive flavor and a meaty texture.  It's often served as a side dish, after being steamed or briefly boiled.  Better cooks insist that it be peeled first, but many people skip this step.  To remove the tough base, simply snap the asparagus in half with your hands.  The stalk should break right about at the point where it starts getting too tough to serve to company.   

There's a purple variety, but it turns green when it's cooked and so loses its novelty.  White asparagus, on the other hand, is more tender than green, and more expensive.  Asparagus is often available year-round, but the best time to buy it is in the spring.",,Asparagus officinalis,"['white asparagus', 'leek', 'okra', 'fiddlehead fern', 'broccoli']"
25,Atalanta olives,This is a muddy-green Greek olive with soft flesh.,,Olea europaea,['royal olives']
26,bacon avocado,"This sweet, smooth-skinned variety shows up in the middle of winter.  It's not as flavorful as other avocados.",,Persea americana,"['avocado', 'chayote', 'fresh peas', 'asparagus', 'broccoli', 'artichoke hearts']"
27,bamboo shoots,"You can buy fresh shoots at some Chinese markets, but you must boil them first to rid them of hydrocyanic acid, a toxin that causes cyanide poisoning.   Canned shoots are safer and more widely available.  Rinse them well before using.  Submerge any unused shoots in fresh water and store them in a sealed container in the refrigerator, changing the water daily.","bambo sprouts, choke-sun, chun-sun, take-noko, takenoko, tung sun",Bambusa vulgaris,"['asparagus', 'coconut shoots']"
28,banana blossom,"These are popular in Southeast Asia and India, where they're boiled in water or coconut milk, then eaten like artichokes",banana flower,Musa acuminata,['artichoke']
29,banana pepper ,"These sweet, mild peppers with a fruity flavor are easily confused with hotter yellow wax peppers. Sample before using.","banana chile, banana chili pepper, banana wax pepper, sweet banana pepper",Capsicum annuum,"['bell pepper', 'yellow wax pepper ']"
30,banana squash,"This variety is so large that grocers usually cut into smaller chunks before putting it out.  It's tasty, but its biggest virtue is the beautiful golden color of its flesh.",,Cucurbita maxima,"['butternut squash', 'buttercup squash', 'acorn squash', 'Hubbard squash', 'pumpkin']"
31,bear's head mushroom,"These grow yellow and sour-tasting with age, so buy only white ones.  They're best sautéed or gently boiled.","bearded tooth mushroom, satyr's beard mushroom",Hericium erinaceus,[]
32,beet,"Beets have a distinctive earthy flavor that's enhanced by roasting, but they can also be steamed, microwaved, or boiled.  A beet will be more flavorful and colorful if you leave the peel and some of the stem on while it's cooking.  After it's cooled down, the peel comes off fairly easily.    Varieties include the familiar red beets, golden beets, which turn a golden orange when cooked and are slightly sweeter than red beets, white beets, and chioggia (pronounced KYAHD-dja) = candy-stripe beets = candy cane beets which have alternating white and red rings inside.  Baby beets are sweeter and faster-cooking than larger beets.   Select beets that are heavy for their size.  Canned beets are a good substitute for fresh.","beetroots, garden beet, red beet, table beet",Beta vulgaris,"['carrot', 'slicing tomato']"
33,beet greens,"Like their close relative, Swiss chard, beet greens have lots of flavor and a good, sturdy texture.  The best ones are young and tender, and sometimes come with small beets attached.",,Beta vulgaris,"['Swiss chard', 'turnip greens', 'spinach']"
34,Belgian endive,"These crunchy, slightly bitter leaves are often used to make hors d'oeuvres, but they can also be chopped and added to salads, or braised to make an exquisite (and expensive) side dish.  Select heads with yellow tips; those with green tips are more bitter.   Their peak season is the late fall and winter.","Belgium chicory, blanching chicory, chicon, chicory, Dutch chicory, French endive, green-leaved blanching chicory, in Britain, witloof, witloof chicory",Cichorium intybus,"['radicchio', 'arugula', 'watercress']"
35,bell pepper,"Red and yellow peppers are riper, more flavorful, and pricier than the more common green ones. You can occasionally find bell peppers in other colors as well, like brown, white, pink, orange, and purple.Bell peppers are the perfect size for hollowing out and stuffing, or you can slice them into strips for snacking or dipping.","capsicum, sweet pepper",Capsicum annuum,"['Holland bell pepper', 'cubanelle', 'poblano pepper ', 'Anaheim chili', 'pimento']"
36,Bermuda onion,These bulb-shaped onions have a sweet mild flavor.  They're available in the spring.,,Allium cepa,"['Spanish onion', 'yellow onion', 'sweet onion', 'red onion']"
37,Bibb lettuce,"This butterhead lettuce has delicate, loose leaves and lots of flavor.  The only downside is that it's usually expensive.",limestone lettuce,Lactuca sativa,"['Boston lettuce', 'corn salad', 'leaf lettuce', 'celery leaves']"
38,Bintje potato,"This is a creamy, yellow-fleshed potato that's especially good for roasting and making fries",,Solanum tuberosum,"['Yukon Gold potato', 'yellow Finn potato']"
39,bitter melon,This bitter vegetable is believed to have medicinal properties and is widely used throughout Asia.,"ampalaya, balsam pear, bitter apple, bitter cucumber, bitter gourd, bitter squash, Chinese bitter melon, foo gwa, karela",Momordica charantia,['winter melon']
40,black garlic,Black garlic results from the aging of regular garlic in a controlled environment. It has a softer milder taste.,,Allium sativum,['softneck garlic']
41,black olives,"These are olives that have been allowed to ripen on the tree. American recipes that call for black olives are probably referring to the Mission olive. Other varieties of black olives are the Aleppo, Alphonso, Amphissa, black Cerignola, Gaeta, black Greek, Kalamata, Ligurian, Lugano, Moroccan dry-cured, Niçoise, Nyons, Ponentine, and Royal.",ripe olives,Olea europaea,['green olives']
42,black radish,"These large, pungent radishes are better known in Eastern Europe than in the United States.   With their black peels and white interiors, they can be fashioned into attractive garnishes, or you can peel and cook them like turnips.  You can also serve them raw, though it helps to tame them down first by salting and rinsing them.","Black Spanish radish, Erfurter radish",Raphanus raphanistrum subsp. Sativus,"['rutabaga', 'turnip']"
43,black salsify,"When cooked, black salsify has the taste and texture of an artichoke heart. There are two types: salsify (white salsify) and the more highly regarded black salsify. After peeling black salsify, put it into acidulated water right away to prevent it from turning brown. Canned black salsify is a good substitute for fresh, but it's hard to find.","black oyster plant, scorzonera, serpent root, Spanish salsify, viper's grass","Asteraceae, hispanicum, Pseudopodospermum","['salsify', 'artichoke hearts', 'parsnip', 'Jerusalem artichoke', 'turnip', 'carrot']"
44,black trumpet mushroom,"This is a very choice, flavorful mushroom.  Dried black trumpets are excellent, too.","black chanterelle, horn of plenty, trompette de la mort, trumpet of the dead",Craterellus cornucopioides,"['chanterelle', 'hedgehog mushroom']"
45,blewit mushrooms,"These are prized more for their beauty than their flavor, which is pleasant but somewhat mild.  Dried blewits are even less flavorful than fresh.","blewitt mushrooms, blue foot mushrooms, blue-leg mushrooms, bluette mushrooms",Clitocybe nuda,"['white mushroom', 'shiitake mushroom']"
46,boiling onion,"These are small versions of yellow, white, or red onions.  They're up to two inches in diameter, and usually cooked whole.","boiler, boiler onion",Allium cepa,"['pearl onion', 'cipollini onion']"
47,boiling potato,"Potatoes in this category hold their shape after cooking, so they're great for making potato salads and scalloped potatoes. They're not good for mashing, baking, or making fries. Types of boiling potatoes are new potatoes, fingerling potatoes, round white potatoes, and round red potatoes.","low-starch potato, waxy potato",Solanum tuberosum,[]
48,bok choy,"Bok choy has crunchy stems and crinkled, spinach-like leaves. It's usually stir-fried with other ingredients, but it can also be steamed or sautéed and served as a side dish. Small heads of bok choy are called baby bok choy (left), and they're more tender than the larger variety. Of the baby bok choys, bok choy sum = Canton bok choy has small yellow flowers (sum is the Chinese word for flower), while Shanghai bok choy is a uniform light green, doesn't have flowers, and isn't as sweet.","baak choi, baby bok choy, bai cai, bok choy sum, Canton bok choy, Chinese cabbage, Chinese chard, Chinese mustard cabbage, Chinese white cabbage, pak choi, pak choy, pok choi, Shanghai bok choy, taisai, white celery mustard, white mustard cabbage",Brassica rapa subsp. Chinensis,"['Chinese broccoli', 'yau choy', 'napa cabbage', 'broccoli', 'Swiss chard', 'celery', 'collard greens', 'beet greens', 'cabbage']"
49,Boniato,"Boniatos aren't as sweet and moist as other sweet potatoes, but many people prefer their fluffier consistency and more delicate flavor.  Store them at room temperature and use them soon after your purchase them, since they tend to spoil quickly.","batata, batata dulce, batiste, camote, Cuban sweet potato, tropical sweet potato, white sweet potato, white-fleshed sweet potato",Ipomoea batatas,"['sweet potato', 'yam', 'russet potato']"
50,Boston lettuce,"This is a type of butterhead lettuce, with soft, tender leaves.  It's terrific in salads and sandwiches, or the leaves can be used as a bed for other dishes.",,Lactuca sativa,"['Bibb lettuce', 'corn salad', 'leaf lettuce', 'iceberg lettuce', 'celery leaves']"
51,broccoflower,This is a green variety of cauliflower.,green cauliflower,Brassica oleracea,"['cauliflower', 'broccoli']"
52,broccoli,"Broccoli is tasty, good for you, and easy to cook. The florets can be steamed or boiled and served as a side dish, or served raw on a crudité platter, or stir-fried. The stems are good, too, but you should peel them first and cook them a little longer. Select broccoli that's dark green and fresh smelling.",Calabrese broccoli,"Brassica oleracea, Italica","['broccoflower', 'cauliflower', 'broccoli raab']"
53,broccoli flowerets,,,Brassica oleracea,['Brussels sprouts']
54,broccoli raab,This slightly bitter cooking green has long been popular in Italy and is now catching on in America.  It's best to just eat the florets and leaves; the stems are quite bitter.,"broccoli de rabe, broccoli de rape, broccolirab, brocoletti di rape, brocoletto, Chinese flowering cabbage, choy sum, cima di rabe, cima di rapa, raab, rape, rapini, rappi","Brassica Rapa, Ruvo","['Chinese broccoli', 'dandelions', 'Swiss chard', 'mustard greens', 'turnip greens', 'kale', 'broccoli', 'cauliflower', 'watercress']"
55,broccoli Romanesco,"This is similar to broccoli, but its florets resemble pine cones.  It's especially good raw.","broccolo Romanesco, Roman cauliflower, Romanesco",Brassica oleracea,"['broccoflower', 'broccoli']"
56,broccoli sprouts,"These are rich in sulforaphane, a cancer-fighting compound.  They also have a pleasant, peppery flavor.",,Brassica oleracea,"['daikon sprouts', 'alfalfa sprouts']"
57,broccolini,Broccolini results from a cross between broccoli and Chinese broccoli.  The slender stems resemble asparagus in flavor and texture.,baby broccoli,Brassica oleracea,"['asparagus', 'Chinese broccoli']"
58,Brussels sprouts,"These look like small cabbages, and they're most often boiled or steamed and served as a side dish. They have a rather strong flavor, so it's best not to pair them with anything that's delicately flavored. They don't store well, so use them within a day or two after purchasing.",,Brassica oleracea,['broccoli flowerets']
59,buckwheat sprouts,,,Fagopyrum esculentum,['alfalfa sprouts']
60,bull's horn pepper,"This Italian heirloom pepper is shaped like a bull's horn, and many cooks think it's a lot more flavorful than an ordinary bell pepper.","Corno Di Toro Pepper, red bull's horn pepper",Capsicum annuum,['bell pepper']
61,burdock,"Burdock is becoming increasingly popular in the United States, but it's already an important vegetable in Asia. It lends an interesting, earthy flavor to soups, stews, or stir-fried dishes. Select small, firm roots.","beggar's button, gobo root, great burdock, kobo root, niúbàng, u-eong, whole burdock",Arctium lappa,"['salsify', 'artichoke hearts']"
62,buttercup squash,"With sweet and creamy orange flesh, the buttercup is one of the more highly regarded winter squashes.  The biggest shortcoming is that it tends to be a bit dry.  Choose specimens that are heavy for their size.",,Cucurbita maxima,"['butternut squash', 'acorn squash', 'Hubbard squash', 'delicata squash', 'kabocha squash', 'pumpkin', 'green papaya']"
63,butterhead lettuce,This category includes Bibb lettuce and Boston lettuce.,butter lettuce,Lactuca sativa,"['leaf lettuce', 'oakleaf lettuce']"
64,butternut squash,"This variety is very popular because it's so easy to use.  It's small enough to serve a normal family without leftovers, and the rind is thin enough to peel off with a vegetable peeler.  As an added bonus, the flavor is sweet, moist, and pleasantly nutty.",,Cucurbita moschata,"['buttercup squash', 'acorn squash', 'calabaza', 'delicata squash', 'kabocha squash', 'Hubbard squash', 'green papaya']"
65,cabbage,"Cabbage is a nutritional powerhouse that can be eaten raw, usually in slaws, or steamed, boiled, or sautéed.Choose heads that are unblemished, smallish, and heavy for their size. They're cheapest and best in the late fall, winter, and early spring. Store them uncut and unwashed, in a plastic bag in the crisper section of your refrigerator. Many varieties will remain fresh for several weeks.Varieties include green cabbage, which is what recipes often mean when they simply say ""cabbage,"" red cabbage, napa cabbage, savoy cabbage, su choy, Brussels sprouts, and kohlrabi.",,Brassica oleracea,"['bok choy', 'collard greens']"
66,cachucha pepper,"These small sweet peppers come in different colors and looks like squished bell peppers. They're popular in the Caribbean, where they're often stuffed and roasted.","aji cachucha, aji dulce, Ajícito, rocatillo",Capsicum chinense,['bell pepper']
67,calabaza,"These are popular in Hispanic countries and throughout the Caribbean. They're large, so markets often cut them up before selling them.","abóbora, ahuyama, crapaudback, Cuban squash, giraumon, green pumpkin, Jamaican pumpkin, toadback, West Indian pumpkin, zapallo",Cucurbita moschata,"['butternut squash', 'buttercup squash', 'Hubbard squash', 'acorn squash']"
68,calcot,"This is a large, Spanish variety of green onion.",green onion,Allium cepa,"['leek', 'green onion']"
69,California chili ,"These are dried Anaheim chiles, and very mild.",California chile,Capsicum annuum,"['New Mexico red chili', 'Anaheim chili']"
70,callaloo,"These huge leaves are about a foot and a half long, and they're a popular vegetable among Pacific islanders and some Asians.  Many Western cooks steer clear of them, though, since they must be cooked for at least 45 minutes to an hour to rid them of calcium oxalate, a toxin that irritates the throat if swallowed.","bhaji, calalou, callau, callilu, elephant's ear, sag, sagaloo, taro leaf",,"['Chinese spinach', 'Swiss chard', 'sorrel', 'spinach', 'mustard greens', 'turnip greens', 'collard greens', 'meloukhia']"
71,cardoon,"This vegetable is very likely an early ancestor of the artichoke. Its large, grayish-green stalks are somewhat bitter, but they remain popular in Italy and North Africa. You can find them in large produce markets in late fall.","artichoke thistle, cardi, cardoni, chardoon, Texas celery",Cynara cardunculus,"['artichoke hearts', 'celery', 'salsify']"
72,Caribe potato,"These large, starchy potatoes have purple skins and white flesh.  They're great mashed, but they don't hold their shape well, so they shouldn't be used in potato salads or scalloped potatoes.",,Solanum tuberosum,['Yukon Gold potato']
73,carrot,"Raw or cooked, carrots add sweetness and color to stews, soups, stir-fries, slaws, cakes, and crudité platters, plus they're a great source of Vitamin A. Try to buy them with the greens still attached, they're usually fresher and sweeter that way.",,Daucus carota,"['parsnip', 'jicama', 'daikon', 'celery', 'celeriac', 'turnip', 'kohlrabi', 'broccoli', 'rutabaga', 'cauliflower', 'salsify']"
74,cascabel pepper - dried,These are nicknamed rattle chiles because the seeds rattle when you shake them. They're a rich brown color and moderately hot.,"bola chile, cascabel chile, chile bola, rattle chile",Capsicum annuum,"['guajillo chili ', 'pequin pepper dried', 'tepin dried', 'cayenne pepper dried']"
75,cassava,"People in Hispanic countries use cassavas much like Americans use potatoes. There's both a sweet and a bitter variety of cassava. The sweet one can be eaten raw, but the bitter one requires cooking to destroy the harmful prussic acid it contains. It's often best to buy frozen cassava, since the fresh kind is hard to peel. Look for it in Hispanic markets. It doesn't store well, so use it within a day or two of purchase.","agbeli, aipim, Brazilian arrowroot, casava, macaxeira, mandioca, manioc, tapioca root, yuca root, yucca, yucca root",Manihot esculenta,"['malanga', 'taro', 'potato']"
76,Catarina chili dried,"This medium-hot Mexican chili is used to make tamales, marinades, stews and soups. It's got a fruity flavor with just a hint of tobacco.","Catarina pepper, chile cora, ladybug chile",Capsicum annuum,[]
77,cauliflower,"Cauliflower florets often wind up in soups, or as a side dish smothered with a cheese sauce, or served raw on a crudité platter.  Select heads that are heavy for their size.","cauli-fiori, chouxfleurs, colewort",Brassica oleracea,"['broccoflower', 'broccoli']"
78,cauliflower mushroom,"These are very flavorful, but a bit chewy.  They're good fried, or in soups or stews.   Select small, young-looking heads.",Sparassis,Sparassis crispa,[]
79,cayenne pepper - fresh,"These are often used in Cajun recipes.  Green cayennes appear in the summer, while hotter red cayennes come out in the fall. They are very hot.","bird pepper, finger chili, ginnie pepper",Capsicum annuum,"['chile de árbol dried', 'Thai chili pepper - fresh', 'habanero - fresh', 'jalapeno pepper ', 'Serrano pepper  ', 'cascabel pepper - dried', 'pequin pepper dried', 'tepin dried', 'Holland chili', 'cherry pepper']"
80,cayenne pepper dried,"These are very hot, bright red chilies. Recipes that call for cayenne pepper are likely referring to a ground powder that goes by the same name, or possibly to the fresh version of the pepper.",Ginnie pepper,Capsicum annuum,"['chile de árbol dried', 'guajillo chili ']"
81,celeriac,"This underrated vegetable is a relative of celery that's been developed for its root, which has a pleasant celery flavor. It's popular in France and Northern Europe, where it's usually peeled and cooked in stews or grated and served raw. Many large supermarkets carry celeriac; select smallish roots that are heavy for their size.","céleri-rave, celery knob, celery root, Germany celery, knob celery, soup celery, turnip celery, turnip-rooted celery","Apium graveolens, rapaceum","['turnip', 'celery ribs', 'parsley root', 'celery seed']"
82,celery,"Raw celery is flavorful and wonderfully crunchy, and it's a great vehicle for dips or fillings like peanut butter or cream cheese.  Celery can also be sautéed and used to flavor soups, stews, and sauces.  A bunch or stalk of celery consists of a dozen or so individual ribs, with the tender innermost ribs called the celery heart.","céleri, seleri",Apium graveolens,"['carrot', 'fennel', 'Chinese celery', 'bok choy', 'cardoon', 'jicama']"
83,celery leaves,,,Apium graveolens,"['Bibb lettuce', 'Boston lettuce', 'parsley', 'celery seed', 'fenugreek leaves', 'lovage', 'trefoil']"
84,celery ribs,,,Apium graveolens,['celeriac']
85,celtuce,"This is a kind of lettuce that's grown for its stalk, which can be peeled, sliced, and stir-fried.  Look for it in Asian markets.","asparagus lettuce, celery lettuce, Chinese lettuce, stem lettuce, wosun","Lactuca sativa, augustana",['celery']
86,Cerignola olives,These sweet Italian olives are large enough to stuff. Black Cerignolas are softer than green Cerignolas.,Bella di Cerignola,Olea europaea,"['Lucque olives', 'Picholine olives']"
87,chanar,"The fruit and seeds of the chanar tree are edible. In Chile, it is ground up to make a sauce (arrope). It is similar to honey or molasses.","Chilean palo verde, kumbaru",Geoffroea decorticans,"['molasses', 'honey']"
88,chanterelle,"Chanterelles are a whole family of mushrooms, most of which are quite choice, but the name is most often applied to the golden chanterelle = yellow chanterelle.  These yellow mushrooms are highly prized for their exquisite flavor, color, and texture.   Other tasty chanterelle varieties include the yellow foot chanterelle, which is less meaty and less flavorful than other varieties, the black trumpet mushroom, and the white chanterelle, which is similar to the golden chanterelle, but lighter in color.  Fresh chanterelles are best; dried or canned chanterelles are less flavorful and tend to have a rubbery texture","egg mushroom, girole, golden chanterelle, pfifferling, white chanterelle, yellow chanterelle, yellow foot chanterelle",Cantharellus californicus,"['hedgehog mushroom', 'white mushroom', 'oyster mushroom', 'morels']"
89,chaya,,tree spinach,Cnidoscolus aconitifolius,['spinach']
90,chayote,"This mild-flavored squash looks like a wrinkled, pale green pear.  It needs to be cooked before serving, and for a longer time than other summer squash.  You should peel a chayote before cooking it, but don't take the seed out--it's edible and tasty.  Cooked chayotes make good low-fat substitutes for avocados.","cho-cho, chocho, choko, christophene, christophine, chuchu, custard marrow, mango squash, mirliton (in the South), pear squash, pepinella, pepinello, sousous, vegetable pear, xoxo, xuxu",Sechium edule,"['zucchini', 'kohlrabi', 'summer squash', 'carrot', 'bell pepper']"
91,chepil,Look for this in the produce section of Hispanic markets.,"chepilin, longbeak rattlebox",Crotalaria longirostrata,['green bean']
92,cherry pepper,"Along with pepperoncini, this is a good pickling pepper. They are moderately hot, and range in color from orange to bright red.","bird cherry pepper, cherry bell pepper, cherry chile, cherry chili, Creole cherry pepper, hot cherry pepper, Hungarian cherry pepper, pimiento pepper, wiri-wiri",,"['cayenne pepper - fresh', 'pepperoncini']"
93,cherry tomato,"These are less than an inch in diameter, perfect for adding to salads or crudité platters, or grilling on skewers.  There are both red and yellow varieties.",,"Solanum lycopersicum, cerasiforme","['teardrop tomato', 'slicing tomato']"
94,chestnut mushroom,,,Agaricus bisporus,[]
95,chia sprouts,"These resemble alfalfa sprouts, and can be harvested right off that ceramic chia pet you got as a gift.",,Salvia hispanica,"['alfalfa sprouts', 'mung bean sprouts']"
96,chicken-of-the-woods mushroom,"This got its name because it has the texture of cooked chicken.  You can sauté it or, if you want to make mock chicken, simmer it in chicken stock.",sulfur mushroom,Laetiporus speciosus,"['portobello mushroom', 'cremini mushroom', 'shiitake mushroom', 'porcini']"
97,chilaca pepper,"When dried, a chilaca pepper is called a pasilla chile. They are mild.",chile chilaca,Capsicum annuum,"['poblano pepper ', 'pasilla chili']"
98,Chilcostle chili,"This hard-to-find and moderately hot Mexican chili is used in soups, stews, tamales, and mole sauces. It imparts a yellowish color to dishes.",chile chilcosle,Capsicum annuum,[]
99,chile de árbol dried,"Unlike many chilies, these remain bright red even after drying, so they're a favorite for making chili wreaths. They're very hot and somewhat acidic. Don't confuse the dried version with the fresh or powdered versions, which go by the same name.","arbol chile, bird's beak chili, chile árbol, rat's tail chili, red chile","Capsicum annuum, De Árbol","['cayenne pepper dried', 'pequin pepper dried']"
100,Chilhuacle negro chile,This excellent Mexican chili is loaded with flavor but hard to find. It's used to make mole negro and bean dishes. It is moderately hot.,,Capsicum annuum,[]
101,Chinese artichoke,"These look a bit like caterpillars, and they taste like Jerusalem artichokes. They're popular in France but hard to find in the U.S. Your best bet would be an Asian market.","artichoke betony, chorogi, crosne, Japanese artichoke, knotroot",Stachys affinis,"['Jerusalem artichoke', 'salsify']"
102,Chinese broccoli,"Like rapini, Chinese broccoli has small stems and green heads (which actually are flowers) and lots of leaves. But Chinese broccoli is leafier and less bitter than rapini. It's a great vegetable to stir-fry, but you can also steam or boil it, as you would broccoli.","Chinese kale, gai lan, gai lum, kai lan","Brassica oleracea, alboglabra","['broccoli raab', 'broccoli', 'bok choy']"
103,Chinese celery,"This has a stronger flavor than ordinary celery, and it's often used in stir-fries and soups.   Look for it in Asian markets.","khuen chai, kinchay","Apium graveolens, secalinum",['celery']
104,Chinese eggplant,"Compared to the familiar American eggplant, Chinese eggplants have thinner skins, a more delicate flavor, and not as many of the seeds that tend to make eggplants bitter.",qiézi,Solanum melongena,"['Japanese eggplant', 'Italian eggplant']"
105,Chinese spinach,"This is similar to spinach, only it's prettier, tastier, and more nutritious.  Look for it in Asian markets.","amaranth, een choy, hiyu, hon-toi-moi, hsien tsai, red calaloo, yin choy",Amaranth gangeticus,"['spinach', 'callaloo']"
106,chipotle negro chile,"These are darker, milder versions of the chipotle chile.","black chipotle, chipotle mora, mora, red-black chipotle",,['chipotle pepper ']
